Benchmark,Batch size,RAPIDS (Total),TB,TB (AT),Speedup,Speedup(AT),RAPIDS(kernel),TBKernel,TBKernel(AT),RAPIDSKernelSpeedup,RAPIDSKernelSpeedup (AT),Tahoe(kernel),TahoeKernelSpeedup,TahoeKernelSpeedup(AT),Tahoe-2
abalone,256,6.60E-07,1.75E-07,1.79E-07,3.768383871,3.689141533,3.85E-07,8.31E-08,8.15E-08,4.627932968,4.720442229,0,0.00E+00,0.00E+00,
airline,256,6.33E-07,1.50E-07,1.47E-07,4.21515309,4.29413251,3.56E-07,4.61E-08,4.34E-08,7.713372207,8.191423526,0,0.00E+00,0.00E+00,
airline-ohe,256,7.97E-07,5.66E-07,5.53E-07,1.408896684,1.441943914,4.24E-07,9.97E-08,9.92E-08,4.248464788,4.272935646,0,0.00E+00,0.00E+00,
covtype,256,7.10E-07,2.36E-07,2.34E-07,3.004561657,3.039660715,4.19E-07,1.16E-07,1.15E-07,3.617700743,3.631514893,0,0.00E+00,0.00E+00,
epsilon,256,1.90E-06,1.02E-06,1.01E-06,1.859577655,1.874327369,3.99E-07,5.32E-08,5.28E-08,7.502842492,7.566807354,0,0.00E+00,0.00E+00,
higgs,256,6.60E-07,1.55E-07,1.63E-07,4.260563993,4.038141973,3.69E-07,4.56E-08,4.37E-08,8.092857139,8.43679094,0,0.00E+00,0.00E+00,
letters,256,2.48E-06,2.68E-06,2.66E-06,0.922754673,0.930317776,2.23E-06,2.58E-06,2.57E-06,0.86446632,0.867844186,0,0.00E+00,0.00E+00,
year,256,6.49E-07,1.83E-07,1.84E-07,3.538265367,3.520115923,3.49E-07,4.58E-08,4.62E-08,7.625503816,7.566728464,,0.00E+00,0.00E+00,
abalone,512,3.74E-07,1.02E-07,1.04E-07,3.65923402,3.598567287,2.28E-07,5.04E-08,5.04E-08,4.524520842,4.526197045,6.59E-08,1.31E+00,1.31E+00,6.59E-08
airline,512,3.45E-07,8.04E-08,8.37E-08,4.288815314,4.117615289,1.97E-07,2.40E-08,2.29E-08,8.196977703,8.590322111,2.99E-08,1.24E+00,1.30E+00,3.01E-08
airline-ohe,512,7.79E-07,6.01E-07,6.05E-07,1.295948914,1.287455852,2.45E-07,7.12E-08,7.56E-08,3.446565837,3.245881352,9.97E-08,1.40E+00,1.32E+00,1.00E-07
covtype,512,4.00E-07,1.47E-07,1.41E-07,2.710472755,2.828793883,2.48E-07,7.02E-08,7.00E-08,3.531471503,3.538179856,9.41E-08,1.34E+00,1.34E+00,9.32E-08
epsilon,512,1.51E-06,1.07E-06,1.07E-06,1.41970457,1.419668008,2.26E-07,4.14E-08,4.13E-08,5.45994715,5.478049053,4.57E-08,1.10E+00,1.11E+00,4.58E-08
higgs,512,3.49E-07,8.45E-08,8.96E-08,4.131226662,3.893092805,1.97E-07,2.45E-08,2.43E-08,8.019805588,8.082281965,3.08E-08,1.26E+00,1.27E+00,3.05E-08
