Benchmark,Batch size,TB(4060),TB(MI210),TBKernel(4060),TBKernel(MI2160),Speedup
abalone,4096,5.54E-08,5.20E-08,4.10E-08,3.75E-08,1.09E+00
airline,4096,2.96E-08,2.89E-08,1.22E-08,9.98E-09,1.22E+00
airline-ohe,4096,2.24E-07,1.86E-07,5.49E-08,5.17E-08,1.06E+00
covtype,4096,6.37E-08,7.26E-08,4.00E-08,4.91E-08,8.15E-01
epsilon,4096,3.88E-07,3.77E-07,4.02E-08,3.18E-08,1.27E+00
higgs,4096,3.48E-08,3.28E-08,1.33E-08,1.03E-08,1.29E+00
letters,4096,3.32E-06,2.09E-06,3.29E-06,1.90E-06,1.74E+00
year,4096,4.54E-08,3.77E-08,1.79E-08,1.06E-08,1.69E+00
abalone,8192,3.59E-08,3.49E-08,2.67E-08,2.64E-08,1.01E+00
airline,8192,2.00E-08,1.85E-08,7.13E-09,6.34E-09,1.12E+00
airline-ohe,8192,1.82E-07,1.61E-07,4.75E-08,4.37E-08,1.09E+00
covtype,8192,5.13E-08,4.22E-08,3.70E-08,2.78E-08,1.33E+00
epsilon,8192,3.50E-07,3.41E-07,3.81E-08,2.80E-08,1.36E+00
higgs,8192,2.44E-08,2.31E-08,7.18E-09,6.55E-09,1.10E+00
letters,8192,3.19E-06,1.56E-06,3.18E-06,1.66E-06,1.92E+00
year,8192,5.40E-08,3.66E-08,7.05E-09,6.43E-09,1.10E+00
abalone,16384,3.06E-08,2.80E-08,2.46E-08,2.17E-08,1.13E+00
airline,16384,1.80E-08,1.46E-08,8.25E-09,4.81E-09,1.72E+00
airline-ohe,16384,1.64E-07,1.49E-07,4.28E-08,3.95E-08,1.08E+00
covtype,16384,5.58E-08,4.04E-08,3.03E-08,2.46E-08,1.23E+00
epsilon,16384,3.47E-07,3.23E-07,4.15E-08,2.62E-08,1.58E+00
higgs,16384,2.01E-08,1.62E-08,8.84E-09,4.91E-09,1.80E+00
letters,16384,1.61E-06,8.66E-07,1.60E-06,7.84E-07,2.04E+00
year,16384,3.65E-08,3.47E-08,6.39E-09,4.52E-09,1.41E+00
abalone,256,4.01E-07,3.42E-07,2.41E-07,1.74E-07,1.38E+00
airline,256,2.98E-07,2.66E-07,1.25E-07,9.50E-08,1.32E+00
airline-ohe,256,5.71E-07,5.71E-07,2.29E-07,2.37E-07,9.65E-01
covtype,256,4.77E-07,4.41E-07,3.05E-07,2.68E-07,1.14E+00
epsilon,256,6.01E-07,6.03E-07,1.24E-07,1.30E-07,9.54E-01
higgs,256,2.71E-07,2.74E-07,9.84E-08,1.01E-07,9.75E-01
letters,256,9.77E-06,8.77E-06,9.57E-06,8.58E-06,1.12E+00
year,256,3.18E-07,2.98E-07,1.31E-07,1.16E-07,1.13E+00
abalone,512,1.93E-07,1.76E-07,1.08E-07,9.70E-08,1.11E+00
airline,512,1.53E-07,1.46E-07,6.18E-08,5.58E-08,1.11E+00
airline-ohe,512,3.67E-07,3.26E-07,1.61E-07,1.20E-07,1.34E+00
covtype,512,2.53E-07,2.34E-07,1.61E-07,1.41E-07,1.15E+00
epsilon,512,6.36E-07,8.91E-07,7.78E-08,6.83E-08,1.14E+00
higgs,512,1.57E-07,1.47E-07,6.24E-08,5.11E-08,1.22E+00
letters,512,4.78E-06,4.42E-06,4.68E-06,4.33E-06,1.08E+00
year,512,1.70E-07,1.62E-07,6.56E-08,5.85E-08,1.12E+00
abalone,1024,1.61E-07,1.05E-07,1.14E-07,5.98E-08,1.91E+00
airline,1024,7.88E-08,7.89E-08,3.07E-08,3.21E-08,9.57E-01
airline-ohe,1024,3.27E-07,3.17E-07,8.61E-08,7.74E-08,1.11E+00
covtype,1024,1.92E-07,1.49E-07,1.35E-07,9.49E-08,1.43E+00
epsilon,1024,4.90E-07,6.04E-07,6.10E-08,4.86E-08,1.26E+00
higgs,1024,8.22E-08,8.29E-08,3.11E-08,3.06E-08,1.02E+00
letters,1024,4.52E-06,5.05E-06,4.47E-06,4.35E-06,1.03E+00
year,1024,1.12E-07,9.64E-08,4.71E-08,3.24E-08,1.45E+00
abalone,2048,7.64E-08,6.72E-08,5.05E-08,4.29E-08,1.18E+00
airline,2048,4.38E-08,4.35E-08,1.62E-08,1.61E-08,1.01E+00
airline-ohe,2048,2.55E-07,2.29E-07,8.22E-08,5.58E-08,1.47E+00
covtype,2048,1.47E-07,9.59E-08,1.10E-07,6.13E-08,1.79E+00
epsilon,2048,4.62E-07,3.87E-07,4.14E-08,3.44E-08,1.20E+00
higgs,2048,4.87E-08,4.72E-08,1.82E-08,1.65E-08,1.10E+00
letters,2048,3.27E-06,2.33E-06,3.29E-06,2.69E-06,1.22E+00
year,2048,6.98E-08,6.12E-08,2.54E-08,1.73E-08,1.47E+00
