Benchmark,Batch size,RAPIDS(Total),TB(4060),TB(AT),Speedup(4060),Speedup(AT),RAPIDS(kernel),TBKernel(4060),TBKernel(AT),Speedup(4060)2,Speedup(AT)2,Tahoe(kernel),Speedup(4060)3,Speedup(AT)
abalone,256,1.89E-06,6.57E-07,6.07E-07,2.87124781,3.10746163,1.31E-06,5.17E-07,4.69E-07,2.54498455,2.804112504,,0.00E+00,0.00E+00
airline,256,1.79E-06,2.84E-07,3.05E-07,6.297088902,5.87224362,1.17E-06,1.25E-07,9.17E-08,9.387851646,12.81036852,,0.00E+00,0.00E+00
airline-ohe,256,2.42E-06,1.63E-06,1.46E-06,1.486606238,1.659533342,1.55E-06,7.84E-07,6.15E-07,1.982037095,2.525816868,,0.00E+00,0.00E+00
covtype,256,2.24E-06,8.44E-07,7.76E-07,2.651566488,2.88328576,1.71E-06,6.56E-07,5.70E-07,2.598389461,2.994204038,,0.00E+00,0.00E+00
epsilon,256,3.60E-06,2.69E-06,2.71E-06,1.337516165,1.328093484,1.19E-06,3.40E-07,3.67E-07,3.49930721,3.24446435,,0.00E+00,0.00E+00
higgs,256,1.83E-06,3.16E-07,3.04E-07,5.80191891,6.027968089,1.18E-06,1.12E-07,1.03E-07,10.50276203,11.43293831,,0.00E+00,0.00E+00
letters,256,2.36E-05,3.26E-05,2.57E-05,0.724766271,0.921262555,2.31E-05,3.20E-05,2.51E-05,0.719527377,0.917511562,,0.00E+00,0.00E+00
year_prediction_msd,256,1.88E-06,4.20E-07,4.01E-07,4.47654551,4.680860734,1.19E-06,1.33E-07,9.60E-08,8.962619307,12.41327812,,0.00E+00,0.00E+00
abalone,512,1.22E-06,4.87E-07,5.37E-07,2.513883529,2.278322935,9.79E-07,4.05E-07,4.52E-07,2.41469367,2.164108383,5.12E-07,1.26E+00,1.13E+00
airline,512,9.94E-07,1.55E-07,1.50E-07,6.422518979,6.648378531,6.01E-07,6.03E-08,6.09E-08,9.967203623,9.867620253,1.46E-07,2.42E+00,2.39E+00
