Benchmark,Batch size,AT,FullExplore,Speedup
abalone,256,13,1506.313,115.8702308
airline,256,7,638.891,91.27014286
airline-ohe,256,22,2495.286,113.4220909
covtype,256,18,2166.305,120.3502778
epsilon,256,7,474.037,67.71957143
higgs,256,7,648.551,92.65014286
letters,256,167,17206.338,103.0319641
year,256,16,1018.575,63.6609375
abalone,512,11,1235.286,112.2987273
airline,512,7,603.627,86.23242857
airline-ohe,512,21,2178.098,103.7189524
covtype,512,17,1805.874,106.2278824
epsilon,512,7,456.276,65.18228571
higgs,512,7,611.836,87.40514286
letters,512,157,15638.457,99.60800637
year,512,15,881.603,58.77353333
abalone,1024,11,904.368,82.21527273
airline,1024,7,513.976,73.42514286
airline-ohe,1024,20,1653.161,82.65805
covtype,1024,17,1426.523,83.91311765
epsilon,1024,7,394.123,56.30328571
higgs,1024,7,519.981,74.283
letters,1024,144,13146.84,91.2975
year,1024,14,807.713,57.69378571
abalone,2048,11,954.985,86.81681818
airline,2048,7,529.122,75.58885714
airline-ohe,2048,21,1748.934,83.28257143
covtype,2048,16,1482.13,92.633125
epsilon,2048,7,434.261,62.03728571
higgs,2048,7,536.604,76.65771429
letters,2048,157,14674.84,93.47031847
year,2048,15,833.277,55.5518
abalone,4096,11,875.437,79.58518182
airline,4096,7,504.634,72.09057143
airline-ohe,4096,16,1635.31,102.206875
covtype,4096,16,1390.524,86.90775
epsilon,4096,6,427.12,71.18666667
higgs,4096,7,510.937,72.991
letters,4096,131,13166.889,100.5106031
year,4096,9,860.268,95.58533333
abalone,8192,11,979.582,89.05290909
airline,8192,7,524.235,74.89071429
airline-ohe,8192,17,1893.326,111.3721176
covtype,8192,17,1520.109,89.41817647
epsilon,8192,8,553.126,69.14075
higgs,8192,7,531.626,75.94657143
letters,8192,134,14917.701,111.3261269
year,8192,10,805.819,80.5819
abalone,16384,12,1204.453,100.3710833
airline,16384,7,582.738,83.24828571
airline-ohe,16384,18,3132.038,174.0021111
covtype,16384,18,1819.488,101.0826667
epsilon,16384,10,821.258,82.1258
higgs,16384,7,595.791,85.113
letters,16384,145,18958.402,130.7476
year,16384,10,863.525,86.3525
