config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_array,1024,false,3.7537,3.78079
oneTree-64-1,airline_xgb_model_save.json,gpu_array,1024,false,0.243975,0.218369
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_array,1024,false,11.423,11.1605
oneTree-64-1,covtype_xgb_model_save.json,gpu_array,1024,false,2.07638,2.04487
oneTree-64-1,epsilon_xgb_model_save.json,gpu_array,1024,false,2.41913,1.58099
oneTree-64-1,higgs_xgb_model_save.json,gpu_array,1024,false,0.257393,0.22543
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.339668,0.282031

config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_sparse,1024,false,1.95994,1.9561
oneTree-64-1,airline_xgb_model_save.json,gpu_sparse,1024,false,0.204277,0.178496
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,11.3798,11.1155
oneTree-64-1,covtype_xgb_model_save.json,gpu_sparse,1024,false,2.12786,2.09629
oneTree-64-1,epsilon_xgb_model_save.json,gpu_sparse,1024,false,2.41456,1.58249
oneTree-64-1,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.255498,0.223066
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.351309,0.290918

config,model,representation,batch_size,unroll,total,kernel
oneTree-64-1,abalone_xgb_model_save.json,gpu_reorg,1024,false,1.19818,1.18806
oneTree-64-1,airline_xgb_model_save.json,gpu_reorg,1024,false,0.263652,0.240635
oneTree-64-1,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,12.1814,11.9316
oneTree-64-1,covtype_xgb_model_save.json,gpu_reorg,1024,false,2.03999,2.00699
oneTree-64-1,epsilon_xgb_model_save.json,gpu_reorg,1024,false,2.66039,1.82474
oneTree-64-1,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.290293,0.258232
oneTree-64-1,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,0.392217,0.335537

config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_array,1024,false,2.63043,2.63454
oneTree-64-2,airline_xgb_model_save.json,gpu_array,1024,false,0.304688,0.282373
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_array,1024,false,13.1678,12.9312
oneTree-64-2,covtype_xgb_model_save.json,gpu_array,1024,false,2.99365,2.96767
oneTree-64-2,epsilon_xgb_model_save.json,gpu_array,1024,false,2.66657,1.83024
oneTree-64-2,higgs_xgb_model_save.json,gpu_array,1024,false,0.359375,0.3279
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.469316,0.41291
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_sparse,1024,false,2.5995,2.60103
oneTree-64-2,airline_xgb_model_save.json,gpu_sparse,1024,false,0.302881,0.278789
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,13.1455,12.906
oneTree-64-2,covtype_xgb_model_save.json,gpu_sparse,1024,false,2.76044,2.73796
oneTree-64-2,epsilon_xgb_model_save.json,gpu_sparse,1024,false,2.67564,1.8338
oneTree-64-2,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.355498,0.323203
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.482158,0.424258
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-2,abalone_xgb_model_save.json,gpu_reorg,1024,false,2.07352,2.07204
oneTree-64-2,airline_xgb_model_save.json,gpu_reorg,1024,false,0.457607,0.4354
oneTree-64-2,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,15.1497,14.9341
oneTree-64-2,covtype_xgb_model_save.json,gpu_reorg,1024,false,3.52999,3.51201
oneTree-64-2,epsilon_xgb_model_save.json,gpu_reorg,1024,false,3.0217,2.18896
oneTree-64-2,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.495244,0.465527
oneTree-64-2,year_prediction_msd_xgb_model_save.json,gpu_reorg,1024,false,0.608057,0.552383
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_array,1024,false,3.80683,3.82244
oneTree-64-4,airline_xgb_model_save.json,gpu_array,1024,false,0.490605,0.468955
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_array,1024,false,20.43,20.262
oneTree-64-4,covtype_xgb_model_save.json,gpu_array,1024,false,4.11618,4.102
oneTree-64-4,epsilon_xgb_model_save.json,gpu_array,1024,false,3.18794,2.35662
oneTree-64-4,higgs_xgb_model_save.json,gpu_array,1024,false,0.52708,0.496777
oneTree-64-4,year_prediction_msd_xgb_model_save.json,gpu_array,1024,false,0.671729,0.617188
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_sparse,1024,false,3.71066,3.72575
oneTree-64-4,airline_xgb_model_save.json,gpu_sparse,1024,false,0.47377,0.452744
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_sparse,1024,false,20.3299,20.1588
oneTree-64-4,covtype_xgb_model_save.json,gpu_sparse,1024,false,4.14747,4.13376
oneTree-64-4,epsilon_xgb_model_save.json,gpu_sparse,1024,false,3.17565,2.35104
oneTree-64-4,higgs_xgb_model_save.json,gpu_sparse,1024,false,0.513027,0.482959
oneTree-64-4,year_prediction_msd_xgb_model_save.json,gpu_sparse,1024,false,0.677051,0.620391
config,model,representation,batch_size,unroll,total,kernel
oneTree-64-4,abalone_xgb_model_save.json,gpu_reorg,1024,false,3.36864,3.38001
oneTree-64-4,airline_xgb_model_save.json,gpu_reorg,1024,false,0.766797,0.747432
oneTree-64-4,airline-ohe_xgb_model_save.json,gpu_reorg,1024,false,23.104,22.9667
oneTree-64-4,covtype_xgb_model_save.json,gpu_reorg,1024,false,6.32471,6.33116
oneTree-64-4,epsilon_xgb_model_save.json,gpu_reorg,1024,false,3.67944,2.85268
oneTree-64-4,higgs_xgb_model_save.json,gpu_reorg,1024,false,0.864404,0.8379
