RAW RESULTS: treebeard/results/thedeep/gpu/exploration/gpu_auto-schedule-results_thedeep_600reps_tree-pipelining_smallBatch_plus1TreeThread.txt
RAW RESULTS: treebeard/results/thedeep/gpu/exploration/gpu_auto-schedule-results_thedeep_600reps_tree-pipelining_noletters_plus1TreeThread.txt
RAW RESULTS: treebeard/results/thedeep/gpu/exploration/gpu_auto-schedule-results_thedeep_200reps_tree-pipelining_letters_plus1TreeThread.txt

              model representation  batch_size  rowsPerTB  rowsPerT  numTreeThreads  treeInterleaveDepth  cache_rows  cache_trees  unroll     total    kernel  five_diff  ten_diff  twentyfive_diff  five_diff_kernel  ten_diff_kernel  twentyfive_diff_kernel
            abalone      gpu_array         256          8         1              50                    2        True        False    True  0.253943  0.163389   0.024978  0.040501         0.114124          0.043565         0.069699                0.168836
            abalone      gpu_reorg         512          8         1              50                    2        True        False    True  0.151026  0.103355   0.028306  0.050938         0.144465          0.027468         0.092361                0.215326
            abalone      gpu_reorg        1024          8         1              20                    2        True        False    True  0.100801  0.072655   0.044950  0.060694         0.118640          0.049532         0.064764                0.152043
            abalone      gpu_array        4096         32         1              20                    2        True        False    True  0.049366  0.038801   0.085344  0.110837         0.183365          0.098923         0.133603                0.224923
            abalone      gpu_array        8192         32         1              10                    4        True        False    True  0.043332  0.033345   0.063390  0.073588         0.132404          0.089252         0.120639                0.192749
            abalone      gpu_array       16384         64         1               2                    2       False        False    True  0.040465  0.033608   0.024088  0.045324         0.096576          0.046089         0.067541                0.128225
            airline      gpu_array         256          8         1              50                   -1       False        False    True  0.193702  0.102351   0.023614  0.030619         0.056922          0.019585         0.034602                0.094505
            airline      gpu_array         512          8         1              50                   -1       False        False   False  0.118775  0.065633   0.016738  0.022513         0.049143          0.029097         0.039032                0.063353
            airline      gpu_reorg        1024         32         1              20                   -1        True        False    True  0.067253  0.036195   0.016578  0.026670         0.069144          0.037144         0.044788                0.111563
            airline      gpu_array        4096         32         2              10                   -1        True        False    True  0.029992  0.012302   0.011870  0.025707         0.044295          0.044006         0.058130                0.114151
            airline      gpu_array        8192         64         1              10                    2        True        False    True  0.021826  0.007997   0.011239  0.021140         0.033592          0.050681         0.057754                0.116169
            airline      gpu_array       16384         64         1               2                    2        True        False    True  0.016365  0.005767   0.014250  0.018075         0.053768          0.034045         0.054844                0.128614
        airline-ohe      gpu_array         256          8         1              50                    4        True        False    True  0.652780  0.193994   0.020256  0.030856         0.078483          0.057223         0.086363                0.256642
        airline-ohe      gpu_array         512          8         1              50                    2        True        False    True  0.503276  0.129488   0.054509  0.073177         0.127350          0.142013         0.213062                0.366559
        airline-ohe      gpu_reorg        1024          8         1              50                    2        True        False    True  0.494492  0.097406   0.029465  0.036025         0.085811          0.105101         0.155036                0.382282
        airline-ohe      gpu_array        4096          8         1              50                    2        True        False    True  0.352178  0.057058   0.017715  0.029928         0.069184          0.119913         0.194486                0.437416
        airline-ohe      gpu_array        8192          8         1              50                    2        True        False    True  0.331461  0.053585   0.025680  0.035253         0.083186          0.146983         0.208528                0.443092
        airline-ohe      gpu_array       16384          8         1              50                    2        True        False    True  0.323711  0.049746   0.031086  0.045550         0.081872          0.206460         0.286806                0.511453
            covtype     gpu_sparse         256          8         1              50                   -1        True        False    True  0.341940  0.234571   0.032699  0.042990         0.078648          0.037445         0.073326                0.124435
            covtype     gpu_sparse         512          8         1              50                   -1        True        False    True  0.224696  0.151766   0.023530  0.030695         0.057082          0.029931         0.042955                0.090000
            covtype      gpu_array        1024          8         1              20                    2        True        False    True  0.166053  0.099585   0.059108  0.068749         0.103515          0.089763         0.113160                0.156379
