model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,2,1,20,-1,false,false,false,0.115137,0.104548
abalone,gpu_array,4096,2,1,20,-1,true,false,false,0.105178,0.0948751
airline,gpu_array,4096,2,1,20,-1,false,false,false,0.0331287,0.0181197
airline,gpu_array,4096,2,1,20,-1,true,false,false,0.0327169,0.0177401
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,false,0.506239,0.219526
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,false,0.507306,0.219674
covtype,gpu_array,4096,2,1,20,-1,false,false,false,0.170041,0.122842
covtype,gpu_array,4096,2,1,20,-1,true,false,false,0.171995,0.124493
epsilon,gpu_array,4096,2,1,20,-1,false,false,false,0.826059,0.049613
epsilon,gpu_array,4096,2,1,20,-1,true,false,false,0.850336,0.0754521
higgs,gpu_array,4096,2,1,20,-1,false,false,false,0.0392529,0.0186117
higgs,gpu_array,4096,2,1,20,-1,true,false,false,0.0390002,0.0183228
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,false,0.0723059,0.0199304
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,false,0.0728625,0.0198722
abalone,gpu_array,4096,2,1,20,-1,false,false,true,0.106569,0.0961279
abalone,gpu_array,4096,2,1,20,-1,true,false,true,0.105056,0.0944588
airline,gpu_array,4096,2,1,20,-1,false,false,true,0.0331006,0.0185982
airline,gpu_array,4096,2,1,20,-1,true,false,true,0.0335449,0.0184277
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,true,0.514513,0.225997
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,true,0.409052,0.121748
covtype,gpu_array,4096,2,1,20,-1,false,false,true,0.16223,0.114973
covtype,gpu_array,4096,2,1,20,-1,true,false,true,0.15774,0.110749
epsilon,gpu_array,4096,2,1,20,-1,false,false,true,0.827717,0.0517672
epsilon,gpu_array,4096,2,1,20,-1,true,false,true,0.843993,0.068654
higgs,gpu_array,4096,2,1,20,-1,false,false,true,0.0409302,0.0195085
higgs,gpu_array,4096,2,1,20,-1,true,false,true,0.0406885,0.0192692
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,true,0.144512,0.0913741
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,true,0.137235,0.0818628
abalone,gpu_sparse,4096,2,1,20,-1,false,false,false,0.133745,0.123301
abalone,gpu_sparse,4096,2,1,20,-1,true,false,false,0.127147,0.116646
airline,gpu_sparse,4096,2,1,20,-1,false,false,false,0.035804,0.021355
airline,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0350399,0.0205892
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,false,0.529685,0.241805
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,false,0.510984,0.22293
covtype,gpu_sparse,4096,2,1,20,-1,false,false,false,0.174132,0.127024
covtype,gpu_sparse,4096,2,1,20,-1,true,false,false,0.179083,0.131632
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,false,0.826631,0.050166
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,false,0.852503,0.0757084
higgs,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0418929,0.0212972
higgs,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0417061,0.020459
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0739506,0.0216455
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0754496,0.0226278
abalone,gpu_sparse,4096,2,1,20,-1,false,false,true,0.135363,0.124955
abalone,gpu_sparse,4096,2,1,20,-1,true,false,true,0.131536,0.120771
airline,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0362964,0.0213196
airline,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0364864,0.0214803
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,true,0.5287,0.239241
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,true,0.428809,0.140361
covtype,gpu_sparse,4096,2,1,20,-1,false,false,true,0.170353,0.123267
covtype,gpu_sparse,4096,2,1,20,-1,true,false,true,0.167354,0.120652
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,true,0.829191,0.0515283
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,true,0.846564,0.0690572
higgs,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0423348,0.0216378
higgs,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0424776,0.0217948
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,true,0.14502,0.0917696
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,true,0.139483,0.0841878
abalone,gpu_reorg,4096,2,1,20,-1,false,false,false,0.112944,0.102456
abalone,gpu_reorg,4096,2,1,20,-1,true,false,false,0.109433,0.098879
airline,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0355139,0.0204297
airline,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0347506,0.0202494
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,false,0.530602,0.243468
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,false,0.449741,0.162528
covtype,gpu_reorg,4096,2,1,20,-1,false,false,false,0.163588,0.116166
covtype,gpu_reorg,4096,2,1,20,-1,true,false,false,0.165409,0.117822
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,false,0.83817,0.0592407
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,false,0.859584,0.0813359
higgs,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0427014,0.0213855
higgs,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0424609,0.0210421
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0755945,0.0233813
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,false,0.075387,0.022902
abalone,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0986625,0.0880754
abalone,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0889063,0.0785063
airline,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0341846,0.019058
airline,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0333105,0.0182593
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,true,0.534273,0.245724
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,true,0.397437,0.107778
covtype,gpu_reorg,4096,2,1,20,-1,false,false,true,0.161654,0.11401
covtype,gpu_reorg,4096,2,1,20,-1,true,false,true,0.154387,0.107031
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,true,0.834677,0.056342
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,true,0.851466,0.0722152
higgs,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0421301,0.0206592
higgs,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0405306,0.0196045
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,true,0.165268,0.111977
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,true,0.148052,0.094915
abalone,gpu_array,4096,2,1,20,2,false,false,true,0.0845968,0.0739522
abalone,gpu_array,4096,2,1,20,2,true,false,true,0.0835657,0.0727474
airline,gpu_array,4096,2,1,20,2,false,false,true,0.0316337,0.0170317
airline,gpu_array,4096,2,1,20,2,true,false,true,0.0310937,0.0166064
airline-ohe,gpu_array,4096,2,1,20,2,false,false,true,0.488053,0.199316
airline-ohe,gpu_array,4096,2,1,20,2,true,false,true,0.382476,0.0941337
covtype,gpu_array,4096,2,1,20,2,false,false,true,0.161674,0.114236
covtype,gpu_array,4096,2,1,20,2,true,false,true,0.166642,0.118625
epsilon,gpu_array,4096,2,1,20,2,false,false,true,0.831392,0.0523665
epsilon,gpu_array,4096,2,1,20,2,true,false,true,0.846031,0.0664526
higgs,gpu_array,4096,2,1,20,2,false,false,true,0.0392778,0.0179419
higgs,gpu_array,4096,2,1,20,2,true,false,true,0.0386308,0.0171981
year_prediction_msd,gpu_array,4096,2,1,20,2,false,false,true,0.141125,0.0880428
year_prediction_msd,gpu_array,4096,2,1,20,2,true,false,true,0.127057,0.0740649
abalone,gpu_sparse,4096,2,1,20,2,false,false,true,0.113003,0.102581
abalone,gpu_sparse,4096,2,1,20,2,true,false,true,0.116431,0.105952
airline,gpu_sparse,4096,2,1,20,2,false,false,true,0.0349357,0.0198942
airline,gpu_sparse,4096,2,1,20,2,true,false,true,0.0351477,0.0200395
airline-ohe,gpu_sparse,4096,2,1,20,2,false,false,true,0.515115,0.225759
airline-ohe,gpu_sparse,4096,2,1,20,2,true,false,true,0.510322,0.221564
covtype,gpu_sparse,4096,2,1,20,2,false,false,true,0.170518,0.122459
covtype,gpu_sparse,4096,2,1,20,2,true,false,true,0.180221,0.132148
epsilon,gpu_sparse,4096,2,1,20,2,false,false,true,0.829159,0.0514954
epsilon,gpu_sparse,4096,2,1,20,2,true,false,true,0.84307,0.0657735
higgs,gpu_sparse,4096,2,1,20,2,false,false,true,0.0416862,0.0202429
