model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,256,2,1,20,-1,false,false,false,0.411196,0.330259
abalone,gpu_array,256,2,1,20,-1,true,false,false,0.39688,0.317309
airline,gpu_array,256,2,1,20,-1,false,false,false,0.199845,0.114598
airline,gpu_array,256,2,1,20,-1,true,false,false,0.199015,0.112638
airline-ohe,gpu_array,256,2,1,20,-1,false,false,false,0.884425,0.438824
airline-ohe,gpu_array,256,2,1,20,-1,true,false,false,0.879785,0.436081
covtype,gpu_array,256,2,1,20,-1,false,false,false,0.431854,0.3308
covtype,gpu_array,256,2,1,20,-1,true,false,false,0.432416,0.323073
epsilon,gpu_array,256,2,1,20,-1,false,false,false,1.40634,0.179059
epsilon,gpu_array,256,2,1,20,-1,true,false,false,1.41145,0.184469
higgs,gpu_array,256,2,1,20,-1,false,false,false,0.207657,0.113772
higgs,gpu_array,256,2,1,20,-1,true,false,false,0.207759,0.113003
letters,gpu_array,256,2,1,20,-1,false,false,false,8.81636,8.72655
letters,gpu_array,256,2,1,20,-1,true,false,false,8.63058,8.53243
year_prediction_msd,gpu_array,256,2,1,20,-1,false,false,false,0.255985,0.117103
year_prediction_msd,gpu_array,256,2,1,20,-1,true,false,false,0.256661,0.116532
abalone,gpu_array,256,2,1,20,-1,false,false,true,0.398748,0.317835
abalone,gpu_array,256,2,1,20,-1,true,false,true,0.377063,0.293444
airline,gpu_array,256,2,1,20,-1,false,false,true,0.211755,0.118476
airline,gpu_array,256,2,1,20,-1,true,false,true,0.209924,0.117627
airline-ohe,gpu_array,256,2,1,20,-1,false,false,true,0.871131,0.410857
airline-ohe,gpu_array,256,2,1,20,-1,true,false,true,0.823833,0.365985
covtype,gpu_array,256,2,1,20,-1,false,false,true,0.420917,0.315604
covtype,gpu_array,256,2,1,20,-1,true,false,true,0.401518,0.29952
epsilon,gpu_array,256,2,1,20,-1,false,false,true,1.41223,0.181345
epsilon,gpu_array,256,2,1,20,-1,true,false,true,1.40899,0.179342
higgs,gpu_array,256,2,1,20,-1,false,false,true,0.212424,0.117754
higgs,gpu_array,256,2,1,20,-1,true,false,true,0.210897,0.114098
letters,gpu_array,256,2,1,20,-1,false,false,true,82.8334,82.7357
letters,gpu_array,256,2,1,20,-1,true,false,true,76.3414,76.2421
year_prediction_msd,gpu_array,256,2,1,20,-1,false,false,true,0.619473,0.482116
year_prediction_msd,gpu_array,256,2,1,20,-1,true,false,true,0.622686,0.453903
abalone,gpu_sparse,256,2,1,20,-1,false,false,false,0.412891,0.330352
abalone,gpu_sparse,256,2,1,20,-1,true,false,false,0.405741,0.323886
airline,gpu_sparse,256,2,1,20,-1,false,false,false,0.206899,0.116436
airline,gpu_sparse,256,2,1,20,-1,true,false,false,0.204425,0.115339
airline-ohe,gpu_sparse,256,2,1,20,-1,false,false,false,0.892123,0.438869
airline-ohe,gpu_sparse,256,2,1,20,-1,true,false,false,0.872406,0.414975
covtype,gpu_sparse,256,2,1,20,-1,false,false,false,0.44764,0.33358
covtype,gpu_sparse,256,2,1,20,-1,true,false,false,0.424249,0.321334
epsilon,gpu_sparse,256,2,1,20,-1,false,false,false,1.41243,0.182559
epsilon,gpu_sparse,256,2,1,20,-1,true,false,false,1.4221,0.183028
higgs,gpu_sparse,256,2,1,20,-1,false,false,false,0.219405,0.117147
higgs,gpu_sparse,256,2,1,20,-1,true,false,false,0.212246,0.11761
letters,gpu_sparse,256,2,1,20,-1,false,false,false,8.8176,8.72752
letters,gpu_sparse,256,2,1,20,-1,true,false,false,8.54945,8.45933
year_prediction_msd,gpu_sparse,256,2,1,20,-1,false,false,false,0.258445,0.116098
year_prediction_msd,gpu_sparse,256,2,1,20,-1,true,false,false,0.252555,0.117212
abalone,gpu_sparse,256,2,1,20,-1,false,false,true,0.388378,0.304907
abalone,gpu_sparse,256,2,1,20,-1,true,false,true,0.373634,0.29118
airline,gpu_sparse,256,2,1,20,-1,false,false,true,0.203817,0.11644
airline,gpu_sparse,256,2,1,20,-1,true,false,true,0.202301,0.113039
airline-ohe,gpu_sparse,256,2,1,20,-1,false,false,true,0.868888,0.412225
airline-ohe,gpu_sparse,256,2,1,20,-1,true,false,true,0.831079,0.371121
covtype,gpu_sparse,256,2,1,20,-1,false,false,true,0.417632,0.31286
covtype,gpu_sparse,256,2,1,20,-1,true,false,true,0.401429,0.296831
epsilon,gpu_sparse,256,2,1,20,-1,false,false,true,1.41171,0.181224
epsilon,gpu_sparse,256,2,1,20,-1,true,false,true,1.41498,0.182194
higgs,gpu_sparse,256,2,1,20,-1,false,false,true,0.219463,0.115098
higgs,gpu_sparse,256,2,1,20,-1,true,false,true,0.210895,0.113098
letters,gpu_sparse,256,2,1,20,-1,false,false,true,78.7921,78.6938
letters,gpu_sparse,256,2,1,20,-1,true,false,true,75.4616,75.3639
