model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
letters,gpu_array,256,2,1,20,-1,false,false,false,8.85651,8.76727
letters,gpu_array,256,2,1,20,-1,true,false,false,8.63522,8.54783
letters,gpu_array,256,2,1,20,-1,false,false,true,82.8209,82.7245
letters,gpu_array,256,2,1,20,-1,true,false,true,76.381,76.284
letters,gpu_sparse,256,2,1,20,-1,false,false,false,8.8735,8.7875
letters,gpu_sparse,256,2,1,20,-1,true,false,false,8.5871,8.49833
letters,gpu_sparse,256,2,1,20,-1,false,false,true,79.2104,79.1122
letters,gpu_sparse,256,2,1,20,-1,true,false,true,75.7666,75.6694
letters,gpu_reorg,256,2,1,20,-1,false,false,false,9.18667,9.10004
letters,gpu_reorg,256,2,1,20,-1,true,false,false,9.12487,9.03794
letters,gpu_reorg,256,2,1,20,-1,false,false,true,83.9016,83.8041
letters,gpu_reorg,256,2,1,20,-1,true,false,true,69.4474,69.3492
letters,gpu_array,256,2,1,20,2,false,false,true,56.3573,56.2454
letters,gpu_array,256,2,1,20,2,true,false,true,49.2322,49.125
letters,gpu_sparse,256,2,1,20,2,false,false,true,56.7665,56.6489
letters,gpu_sparse,256,2,1,20,2,true,false,true,47.6958,47.5833
letters,gpu_reorg,256,2,1,20,2,false,false,true,59.0746,58.9508
letters,gpu_reorg,256,2,1,20,2,true,false,true,41.9083,41.7908
letters,gpu_array,256,2,1,20,4,false,false,true,66.936,66.8007
letters,gpu_array,256,2,1,20,4,true,false,true,55.2161,55.0835
letters,gpu_sparse,256,2,1,20,4,false,false,true,66.809,66.6779
letters,gpu_sparse,256,2,1,20,4,true,false,true,38.696,38.566
letters,gpu_reorg,256,2,1,20,4,false,false,true,39.3407,39.2125
letters,gpu_reorg,256,2,1,20,4,true,false,true,30.5467,30.4161
letters,gpu_array,256,2,1,50,-1,false,false,false,5.94973,5.85735
letters,gpu_array,256,2,1,50,-1,true,false,false,5.8872,5.79564
letters,gpu_array,256,2,1,50,-1,false,false,true,40.227,40.1157
letters,gpu_array,256,2,1,50,-1,true,false,true,37.5534,37.4495
letters,gpu_sparse,256,2,1,50,-1,false,false,false,5.98816,5.89648
letters,gpu_sparse,256,2,1,50,-1,true,false,false,5.879,5.78769
letters,gpu_sparse,256,2,1,50,-1,false,false,true,38.9924,38.8819
letters,gpu_sparse,256,2,1,50,-1,true,false,true,37.4666,37.3663
letters,gpu_reorg,256,2,1,50,-1,false,false,false,5.27235,5.18096
letters,gpu_reorg,256,2,1,50,-1,true,false,false,5.23688,5.14444
letters,gpu_reorg,256,2,1,50,-1,false,false,true,35.5007,35.3712
letters,gpu_reorg,256,2,1,50,-1,true,false,true,28.514,28.3944
letters,gpu_array,256,2,1,50,2,false,false,true,37.3574,37.2212
letters,gpu_array,256,2,1,50,2,true,false,true,26.3952,26.2592
letters,gpu_sparse,256,2,1,50,2,false,false,true,31.8171,31.6845
letters,gpu_sparse,256,2,1,50,2,true,false,true,25.4367,25.3007
letters,gpu_reorg,256,2,1,50,2,false,false,true,27.5318,27.4016
letters,gpu_reorg,256,2,1,50,2,true,false,true,19.254,19.1194
letters,gpu_array,256,2,1,50,4,false,false,true,35.6282,35.4927
letters,gpu_array,256,2,1,50,4,true,false,true,31.5929,31.4563
letters,gpu_sparse,256,2,1,50,4,false,false,true,34.935,34.7978
letters,gpu_sparse,256,2,1,50,4,true,false,true,28.2018,28.0687
letters,gpu_reorg,256,2,1,50,4,false,false,true,32.378,32.1081
letters,gpu_reorg,256,2,1,50,4,true,false,true,26.6013,26.3449
letters,gpu_array,256,2,1,100,-1,false,false,false,6.23504,5.74693
letters,gpu_array,256,2,1,100,-1,true,false,false,5.50273,5.01988
letters,gpu_array,256,2,1,100,-1,false,false,true,27.1968,26.6788
letters,gpu_array,256,2,1,100,-1,true,false,true,25.6055,25.0896
letters,gpu_sparse,256,2,1,100,-1,false,false,false,6.75968,6.27193
letters,gpu_sparse,256,2,1,100,-1,true,false,false,5.84227,5.35516
letters,gpu_sparse,256,2,1,100,-1,false,false,true,26.5752,26.0479
letters,gpu_sparse,256,2,1,100,-1,true,false,true,25.664,25.1416
letters,gpu_reorg,256,2,1,100,-1,false,false,false,5.94878,5.46352
letters,gpu_reorg,256,2,1,100,-1,true,false,false,5.8081,5.32135
letters,gpu_reorg,256,2,1,100,-1,false,false,true,33.1541,32.6286
letters,gpu_reorg,256,2,1,100,-1,true,false,true,28.142,27.6166
letters,gpu_array,256,2,1,100,2,false,false,true,32.1557,31.5809
letters,gpu_array,256,2,1,100,2,true,false,true,31.3651,30.8074
letters,gpu_sparse,256,2,1,100,2,false,false,true,37.5122,36.9431
letters,gpu_sparse,256,2,1,100,2,true,false,true,31.7349,31.1829
letters,gpu_reorg,256,2,1,100,2,false,false,true,29.307,28.6548
letters,gpu_reorg,256,2,1,100,2,true,false,true,22.9955,22.46
letters,gpu_array,256,2,1,100,4,false,false,true,47.9196,47.2774
letters,gpu_array,256,2,1,100,4,true,false,true,38.7244,38.0718
letters,gpu_sparse,256,2,1,100,4,false,false,true,44.9408,44.2934
letters,gpu_sparse,256,2,1,100,4,true,false,true,48.3911,47.7308
letters,gpu_reorg,256,2,1,100,4,false,false,true,46.4514,45.8513
letters,gpu_reorg,256,2,1,100,4,true,false,true,41.0144,40.4006
letters,gpu_array,256,8,1,10,-1,false,false,false,13.6829,13.581
letters,gpu_array,256,8,1,10,-1,true,false,false,13.1428,13.04
letters,gpu_array,256,8,1,10,-1,false,false,true,39.56,39.4559
letters,gpu_array,256,8,1,10,-1,true,false,true,37.4898,37.3769
letters,gpu_sparse,256,8,1,10,-1,false,false,false,13.555,13.4519
