model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
letters,gpu_array,4096,2,1,20,-1,false,false,false,4.36691,4.32387
letters,gpu_array,4096,2,1,20,-1,true,false,false,4.24601,4.2023
letters,gpu_array,4096,2,1,20,-1,false,false,true,28.8815,28.9643
letters,gpu_array,4096,2,1,20,-1,true,false,true,32.6975,32.7995
letters,gpu_sparse,4096,2,1,20,-1,false,false,false,4.73133,4.6891
letters,gpu_sparse,4096,2,1,20,-1,true,false,false,4.29698,4.25375
letters,gpu_sparse,4096,2,1,20,-1,false,false,true,28.056,28.1345
letters,gpu_sparse,4096,2,1,20,-1,true,false,true,32.6472,32.7499
letters,gpu_reorg,4096,2,1,20,-1,false,false,false,5.29562,5.25779
letters,gpu_reorg,4096,2,1,20,-1,true,false,false,5.24041,5.20125
letters,gpu_reorg,4096,2,1,20,-1,false,false,true,24.9584,25.0283
letters,gpu_reorg,4096,2,1,20,-1,true,false,true,21.4183,21.4695
letters,gpu_array,4096,2,1,20,2,false,false,true,23.1609,23.2108
letters,gpu_array,4096,2,1,20,2,true,false,true,21.1598,21.2016
letters,gpu_sparse,4096,2,1,20,2,false,false,true,23.9026,23.9557
letters,gpu_sparse,4096,2,1,20,2,true,false,true,20.717,20.7565
letters,gpu_reorg,4096,2,1,20,2,false,false,true,24.1165,24.1814
letters,gpu_reorg,4096,2,1,20,2,true,false,true,18.9026,18.939
letters,gpu_array,4096,2,1,50,-1,false,false,false,7.85193,7.7649
letters,gpu_array,4096,2,1,50,-1,true,false,false,7.41391,7.32395
letters,gpu_array,4096,2,1,50,-1,false,false,true,23.8718,23.8689
letters,gpu_array,4096,2,1,50,-1,true,false,true,22.5645,22.5544
letters,gpu_sparse,4096,2,1,50,-1,false,false,false,8.09628,8.0098
letters,gpu_sparse,4096,2,1,50,-1,true,false,false,7.57371,7.48431
letters,gpu_sparse,4096,2,1,50,-1,false,false,true,23.4409,23.436
letters,gpu_sparse,4096,2,1,50,-1,true,false,true,22.8069,22.7989
letters,gpu_reorg,4096,2,1,50,-1,false,false,false,5.84597,5.75095
letters,gpu_reorg,4096,2,1,50,-1,true,false,false,5.76624,5.66932
letters,gpu_reorg,4096,2,1,50,-1,false,false,true,20.7239,20.708
letters,gpu_reorg,4096,2,1,50,-1,true,false,true,17.2629,17.2286
letters,gpu_array,4096,2,1,50,2,false,false,true,23.4491,23.4421
letters,gpu_array,4096,2,1,50,2,true,false,true,16.6112,16.5689
letters,gpu_sparse,4096,2,1,50,2,false,false,true,20.332,20.3086
letters,gpu_sparse,4096,2,1,50,2,true,false,true,16.3689,16.3257
letters,gpu_reorg,4096,2,1,50,2,false,false,true,24.1663,24.1747
letters,gpu_reorg,4096,2,1,50,2,true,false,true,23.3542,23.3525
letters,gpu_array,4096,8,1,10,-1,false,false,false,3.99717,3.97179
letters,gpu_array,4096,8,1,10,-1,true,false,false,3.87605,3.85065
letters,gpu_array,4096,8,1,10,-1,false,false,true,7.98227,7.97672
