model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
letters,gpu_array,4096,2,1,20,-1,false,false,false,4.37423,4.33018
letters,gpu_array,4096,2,1,20,-1,true,false,false,4.25488,4.21
letters,gpu_array,4096,2,1,20,-1,false,false,true,28.9343,29.0186
letters,gpu_array,4096,2,1,20,-1,true,false,true,32.7036,32.8058
letters,gpu_sparse,4096,2,1,20,-1,false,false,false,4.7404,4.69779
letters,gpu_sparse,4096,2,1,20,-1,true,false,false,4.32429,4.27979
letters,gpu_sparse,4096,2,1,20,-1,false,false,true,28.0568,28.1356
letters,gpu_sparse,4096,2,1,20,-1,true,false,true,32.5774,32.6804
letters,gpu_reorg,4096,2,1,20,-1,false,false,false,5.30532,5.26272
letters,gpu_reorg,4096,2,1,20,-1,true,false,false,5.24269,5.2003
letters,gpu_reorg,4096,2,1,20,-1,false,false,true,24.9265,24.9981
letters,gpu_reorg,4096,2,1,20,-1,true,false,true,21.391,21.4417
letters,gpu_array,4096,2,1,20,2,false,false,true,23.1618,23.2087
letters,gpu_array,4096,2,1,20,2,true,false,true,21.157,21.1977
letters,gpu_sparse,4096,2,1,20,2,false,false,true,23.9151,23.9678
letters,gpu_sparse,4096,2,1,20,2,true,false,true,20.7155,20.7539
letters,gpu_reorg,4096,2,1,20,2,false,false,true,24.0237,24.086
letters,gpu_reorg,4096,2,1,20,2,true,false,true,18.9134,18.9466
letters,gpu_array,4096,2,1,50,-1,false,false,false,7.84372,7.75623
letters,gpu_array,4096,2,1,50,-1,true,false,false,7.3897,7.30028
letters,gpu_array,4096,2,1,50,-1,false,false,true,23.9335,23.9307
letters,gpu_array,4096,2,1,50,-1,true,false,true,22.6129,22.6021
letters,gpu_sparse,4096,2,1,50,-1,false,false,false,8.0854,7.99964
letters,gpu_sparse,4096,2,1,50,-1,true,false,false,7.57434,7.48569
letters,gpu_sparse,4096,2,1,50,-1,false,false,true,23.3992,23.3929
letters,gpu_sparse,4096,2,1,50,-1,true,false,true,22.7694,22.76
letters,gpu_reorg,4096,2,1,50,-1,false,false,false,5.84074,5.74456
letters,gpu_reorg,4096,2,1,50,-1,true,false,false,5.77976,5.68337
letters,gpu_reorg,4096,2,1,50,-1,false,false,true,20.7279,20.7092
letters,gpu_reorg,4096,2,1,50,-1,true,false,true,17.2721,17.2354
letters,gpu_array,4096,2,1,50,2,false,false,true,23.4087,23.4001
letters,gpu_array,4096,2,1,50,2,true,false,true,16.5773,16.5325
letters,gpu_sparse,4096,2,1,50,2,false,false,true,20.2956,20.2697
letters,gpu_sparse,4096,2,1,50,2,true,false,true,16.3437,16.2984
letters,gpu_reorg,4096,2,1,50,2,false,false,true,24.1679,24.1662
letters,gpu_reorg,4096,2,1,50,2,true,false,true,23.3017,23.2975
letters,gpu_array,4096,8,1,10,-1,false,false,false,3.92857,3.9013
letters,gpu_array,4096,8,1,10,-1,true,false,false,3.85885,3.83229
letters,gpu_array,4096,8,1,10,-1,false,false,true,7.982,7.97529
letters,gpu_array,4096,8,1,10,-1,true,false,true,7.57118,7.56206
letters,gpu_sparse,4096,8,1,10,-1,false,false,false,3.71464,3.68658
letters,gpu_sparse,4096,8,1,10,-1,true,false,false,3.9962,3.96904
letters,gpu_sparse,4096,8,1,10,-1,false,false,true,7.83274,7.82455
letters,gpu_sparse,4096,8,1,10,-1,true,false,true,7.57971,7.57175
letters,gpu_reorg,4096,8,1,10,-1,false,false,false,4.62639,4.60079
letters,gpu_reorg,4096,8,1,10,-1,true,false,false,4.48734,4.46142
letters,gpu_reorg,4096,8,1,10,-1,false,false,true,5.49737,5.4775
letters,gpu_reorg,4096,8,1,10,-1,true,false,true,4.69589,4.67125
letters,gpu_array,4096,8,1,10,2,false,false,true,6.92739,6.9159
letters,gpu_array,4096,8,1,10,2,true,false,true,5.09911,5.07786
letters,gpu_sparse,4096,8,1,10,2,false,false,true,6.18791,6.1718
letters,gpu_sparse,4096,8,1,10,2,true,false,true,5.14864,5.12789
letters,gpu_reorg,4096,8,1,10,2,false,false,true,5.55199,5.53182
letters,gpu_reorg,4096,8,1,10,2,true,false,true,4.79324,4.76857
letters,gpu_array,4096,8,1,10,4,false,false,true,8.45406,8.44631
letters,gpu_array,4096,8,1,10,4,true,false,true,6.52236,6.50547
letters,gpu_sparse,4096,8,1,10,4,false,false,true,8.89556,8.88998
letters,gpu_sparse,4096,8,1,10,4,true,false,true,5.72339,5.70314
