model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,2,1,20,-1,false,false,false,0.127793,0.103947
abalone,gpu_array,4096,2,1,20,-1,true,false,false,0.116934,0.0949231
airline,gpu_array,4096,2,1,20,-1,false,false,false,0.0463932,0.0184281
airline,gpu_array,4096,2,1,20,-1,true,false,false,0.0454692,0.0180627
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,false,0.521336,0.220672
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,false,0.509712,0.220279
covtype,gpu_array,4096,2,1,20,-1,false,false,false,0.257377,0.124007
covtype,gpu_array,4096,2,1,20,-1,true,false,false,0.255963,0.125616
epsilon,gpu_array,4096,2,1,20,-1,false,false,false,0.829191,0.0530632
epsilon,gpu_array,4096,2,1,20,-1,true,false,false,0.855588,0.0784208
higgs,gpu_array,4096,2,1,20,-1,false,false,false,0.0522103,0.0191988
higgs,gpu_array,4096,2,1,20,-1,true,false,false,0.0547493,0.0187545
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,false,0.0905733,0.0213399
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,false,0.0887638,0.0213025
abalone,gpu_array,4096,2,1,20,-1,false,false,true,0.115793,0.096154
abalone,gpu_array,4096,2,1,20,-1,true,false,true,0.116661,0.0945854
airline,gpu_array,4096,2,1,20,-1,false,false,true,0.0437927,0.0188387
airline,gpu_array,4096,2,1,20,-1,true,false,true,0.0463436,0.0185278
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,true,0.527464,0.226477
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,true,0.412097,0.122945
covtype,gpu_array,4096,2,1,20,-1,false,false,true,0.246263,0.116085
covtype,gpu_array,4096,2,1,20,-1,true,false,true,0.241543,0.111731
epsilon,gpu_array,4096,2,1,20,-1,false,false,true,0.838245,0.0549854
epsilon,gpu_array,4096,2,1,20,-1,true,false,true,0.85668,0.0793176
higgs,gpu_array,4096,2,1,20,-1,false,false,true,0.0550008,0.0203296
higgs,gpu_array,4096,2,1,20,-1,true,false,true,0.0536979,0.0198718
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,true,0.163626,0.093197
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,true,0.153275,0.0826945
abalone,gpu_sparse,4096,2,1,20,-1,false,false,false,0.146718,0.124237
abalone,gpu_sparse,4096,2,1,20,-1,true,false,false,0.139207,0.117817
airline,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0470125,0.021641
airline,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0471309,0.0210079
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,false,0.531196,0.241249
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,false,0.513842,0.224207
covtype,gpu_sparse,4096,2,1,20,-1,false,false,false,0.259319,0.128215
covtype,gpu_sparse,4096,2,1,20,-1,true,false,false,0.265032,0.13284
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,false,0.839634,0.0531169
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,false,0.856644,0.0793852
higgs,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0539526,0.0221155
higgs,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0557739,0.0212252
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0941996,0.0232113
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,false,0.093134,0.0243091
abalone,gpu_sparse,4096,2,1,20,-1,false,false,true,0.148379,0.125787
abalone,gpu_sparse,4096,2,1,20,-1,true,false,true,0.14322,0.121076
airline,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0503727,0.0217159
airline,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0508207,0.0218286
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,true,0.532652,0.241886
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,true,0.432304,0.142606
covtype,gpu_sparse,4096,2,1,20,-1,false,false,true,0.256292,0.125044
covtype,gpu_sparse,4096,2,1,20,-1,true,false,true,0.252826,0.122128
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,true,0.842053,0.0545943
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,true,0.858957,0.0798303
higgs,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0561715,0.0224992
higgs,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0555526,0.0225326
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,true,0.162938,0.0940385
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,true,0.154847,0.085636
abalone,gpu_reorg,4096,2,1,20,-1,false,false,false,0.124549,0.103099
abalone,gpu_reorg,4096,2,1,20,-1,true,false,false,0.121355,0.0998324
airline,gpu_reorg,4096,2,1,20,-1,false,false,false,0.045776,0.0206982
airline,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0476831,0.0204321
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,false,0.534708,0.24526
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,false,0.453635,0.163916
covtype,gpu_reorg,4096,2,1,20,-1,false,false,false,0.247523,0.117683
covtype,gpu_reorg,4096,2,1,20,-1,true,false,false,0.249844,0.119379
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,false,0.850499,0.0617375
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,false,0.86984,0.091392
higgs,gpu_reorg,4096,2,1,20,-1,false,false,false,0.057596,0.0220361
higgs,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0552759,0.0216634
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,false,0.093975,0.0248507
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0931921,0.0244897
abalone,gpu_reorg,4096,2,1,20,-1,false,false,true,0.112044,0.0882039
abalone,gpu_reorg,4096,2,1,20,-1,true,false,true,0.100429,0.0790698
airline,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0480033,0.0194466
airline,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0464152,0.0186015
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,true,0.544005,0.247274
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,true,0.405511,0.108577
covtype,gpu_reorg,4096,2,1,20,-1,false,false,true,0.245041,0.115388
covtype,gpu_reorg,4096,2,1,20,-1,true,false,true,0.238859,0.108609
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,true,0.842243,0.0626156
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,true,0.862514,0.0825378
higgs,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0546977,0.0209762
higgs,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0535042,0.01981
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,true,0.18299,0.114296
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,true,0.165516,0.0966866
abalone,gpu_array,4096,2,1,20,2,false,false,true,0.0979867,0.07401
abalone,gpu_array,4096,2,1,20,2,true,false,true,0.0929456,0.0731303
airline,gpu_array,4096,2,1,20,2,false,false,true,0.0451424,0.018717
airline,gpu_array,4096,2,1,20,2,true,false,true,0.0428996,0.0176644
airline-ohe,gpu_array,4096,2,1,20,2,false,false,true,0.497136,0.20081
airline-ohe,gpu_array,4096,2,1,20,2,true,false,true,0.396356,0.0952421
covtype,gpu_array,4096,2,1,20,2,false,false,true,0.248186,0.115286
covtype,gpu_array,4096,2,1,20,2,true,false,true,0.250955,0.119897
epsilon,gpu_array,4096,2,1,20,2,false,false,true,0.838691,0.0539372
epsilon,gpu_array,4096,2,1,20,2,true,false,true,0.847293,0.0674772
higgs,gpu_array,4096,2,1,20,2,false,false,true,0.0522762,0.0186979
higgs,gpu_array,4096,2,1,20,2,true,false,true,0.0544625,0.0184285
year_prediction_msd,gpu_array,4096,2,1,20,2,false,false,true,0.156466,0.09005
