model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,2,1,20,-1,false,false,false,0.128527,0.103878
abalone,gpu_array,4096,2,1,20,-1,true,false,false,0.115901,0.0951969
airline,gpu_array,4096,2,1,20,-1,false,false,false,0.0469629,0.0184859
airline,gpu_array,4096,2,1,20,-1,true,false,false,0.0454887,0.0182996
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,false,0.51365,0.22121
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,false,0.510791,0.221299
covtype,gpu_array,4096,2,1,20,-1,false,false,false,0.255338,0.124465
covtype,gpu_array,4096,2,1,20,-1,true,false,false,0.258567,0.125787
epsilon,gpu_array,4096,2,1,20,-1,false,false,false,0.845666,0.052592
epsilon,gpu_array,4096,2,1,20,-1,true,false,false,0.866969,0.0793372
higgs,gpu_array,4096,2,1,20,-1,false,false,false,0.0530684,0.0208695
higgs,gpu_array,4096,2,1,20,-1,true,false,false,0.057288,0.0203975
letters,gpu_array,4096,2,1,20,-1,false,false,false,4.59256,4.29306
letters,gpu_array,4096,2,1,20,-1,true,false,false,4.49802,4.19347
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,false,0.0919352,0.021591
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,false,0.0900183,0.021355
abalone,gpu_array,4096,2,1,20,-1,false,false,true,0.121351,0.0972835
abalone,gpu_array,4096,2,1,20,-1,true,false,true,0.12201,0.0951359
airline,gpu_array,4096,2,1,20,-1,false,false,true,0.0465491,0.0189522
airline,gpu_array,4096,2,1,20,-1,true,false,true,0.0490161,0.0187569
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,true,0.522519,0.229423
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,true,0.419729,0.123149
covtype,gpu_array,4096,2,1,20,-1,false,false,true,0.248117,0.116749
covtype,gpu_array,4096,2,1,20,-1,true,false,true,0.242886,0.112324
epsilon,gpu_array,4096,2,1,20,-1,false,false,true,0.848493,0.0551481
epsilon,gpu_array,4096,2,1,20,-1,true,false,true,0.869217,0.0799174
higgs,gpu_array,4096,2,1,20,-1,false,false,true,0.0554716,0.0216557
higgs,gpu_array,4096,2,1,20,-1,true,false,true,0.0579846,0.0212276
letters,gpu_array,4096,2,1,20,-1,false,false,true,28.4359,28.1848
letters,gpu_array,4096,2,1,20,-1,true,false,true,31.58,31.3294
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,true,0.166402,0.0939762
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,true,0.156802,0.0832011
