model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,2,1,20,-1,false,false,false,0.112919,0.102402
abalone,gpu_array,4096,2,1,20,-1,true,false,false,0.104938,0.0947335
airline,gpu_array,4096,2,1,20,-1,false,false,false,0.0358158,0.0182633
airline,gpu_array,4096,2,1,20,-1,true,false,false,0.0355717,0.0180172
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,false,0.515348,0.221395
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,false,0.515948,0.221736
covtype,gpu_array,4096,2,1,20,-1,false,false,false,0.177212,0.124538
covtype,gpu_array,4096,2,1,20,-1,true,false,false,0.17847,0.126115
epsilon,gpu_array,4096,2,1,20,-1,false,false,false,0.84017,0.052146
epsilon,gpu_array,4096,2,1,20,-1,true,false,false,0.865465,0.0783016
higgs,gpu_array,4096,2,1,20,-1,false,false,false,0.043031,0.0185978
higgs,gpu_array,4096,2,1,20,-1,true,false,false,0.0428507,0.0182572
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,false,0.0784294,0.0213407
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,false,0.0781746,0.0211108
abalone,gpu_array,4096,2,1,20,-1,false,false,true,0.106794,0.0959709
abalone,gpu_array,4096,2,1,20,-1,true,false,true,0.104479,0.0942932
airline,gpu_array,4096,2,1,20,-1,false,false,true,0.036429,0.0186186
airline,gpu_array,4096,2,1,20,-1,true,false,true,0.0364364,0.0184017
airline-ohe,gpu_array,4096,2,1,20,-1,false,false,true,0.52024,0.226225
airline-ohe,gpu_array,4096,2,1,20,-1,true,false,true,0.415874,0.122555
covtype,gpu_array,4096,2,1,20,-1,false,false,true,0.168909,0.116665
covtype,gpu_array,4096,2,1,20,-1,true,false,true,0.164137,0.11209
epsilon,gpu_array,4096,2,1,20,-1,false,false,true,0.840621,0.0544727
epsilon,gpu_array,4096,2,1,20,-1,true,false,true,0.858143,0.0712325
higgs,gpu_array,4096,2,1,20,-1,false,false,true,0.0440422,0.0195374
higgs,gpu_array,4096,2,1,20,-1,true,false,true,0.0439233,0.0192501
year_prediction_msd,gpu_array,4096,2,1,20,-1,false,false,true,0.150399,0.0936336
year_prediction_msd,gpu_array,4096,2,1,20,-1,true,false,true,0.139972,0.0827881
abalone,gpu_sparse,4096,2,1,20,-1,false,false,false,0.134013,0.123324
abalone,gpu_sparse,4096,2,1,20,-1,true,false,false,0.127223,0.116425
airline,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0385929,0.0216366
airline,gpu_sparse,4096,2,1,20,-1,true,false,false,0.038383,0.020745
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,false,0.537719,0.242918
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,false,0.518298,0.223634
covtype,gpu_sparse,4096,2,1,20,-1,false,false,false,0.180903,0.128664
covtype,gpu_sparse,4096,2,1,20,-1,true,false,false,0.185506,0.133352
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,false,0.841279,0.0533276
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,false,0.866231,0.0785787
higgs,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0455884,0.0215002
higgs,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0451111,0.0207267
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,false,0.0795732,0.023057
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,false,0.0809648,0.0238013
abalone,gpu_sparse,4096,2,1,20,-1,false,false,true,0.135281,0.125067
abalone,gpu_sparse,4096,2,1,20,-1,true,false,true,0.131007,0.12071
airline,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0393982,0.0214913
airline,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0396712,0.0215247
airline-ohe,gpu_sparse,4096,2,1,20,-1,false,false,true,0.534974,0.240773
airline-ohe,gpu_sparse,4096,2,1,20,-1,true,false,true,0.436435,0.141792
covtype,gpu_sparse,4096,2,1,20,-1,false,false,true,0.177019,0.124954
covtype,gpu_sparse,4096,2,1,20,-1,true,false,true,0.174143,0.122122
epsilon,gpu_sparse,4096,2,1,20,-1,false,false,true,0.842782,0.0545333
epsilon,gpu_sparse,4096,2,1,20,-1,true,false,true,0.860279,0.0721497
higgs,gpu_sparse,4096,2,1,20,-1,false,false,true,0.0465959,0.0216561
higgs,gpu_sparse,4096,2,1,20,-1,true,false,true,0.0462533,0.0218473
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,false,false,true,0.150968,0.0939303
year_prediction_msd,gpu_sparse,4096,2,1,20,-1,true,false,true,0.142552,0.0852576
abalone,gpu_reorg,4096,2,1,20,-1,false,false,false,0.113419,0.102481
abalone,gpu_reorg,4096,2,1,20,-1,true,false,false,0.109316,0.0988607
airline,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0391325,0.0206632
airline,gpu_reorg,4096,2,1,20,-1,true,false,false,0.038219,0.0205302
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,false,0.53857,0.244871
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,false,0.457238,0.163429
covtype,gpu_reorg,4096,2,1,20,-1,false,false,false,0.169927,0.117539
covtype,gpu_reorg,4096,2,1,20,-1,true,false,false,0.171138,0.119219
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,false,0.849656,0.0617379
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,false,0.872635,0.0843433
higgs,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0459387,0.0215889
higgs,gpu_reorg,4096,2,1,20,-1,true,false,false,0.045697,0.0210978
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,false,0.0815771,0.0249182
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,false,0.0809167,0.0241073
abalone,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0980929,0.0879529
abalone,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0888342,0.0785807
airline,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0367928,0.0195036
airline,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0366231,0.018796
airline-ohe,gpu_reorg,4096,2,1,20,-1,false,false,true,0.541911,0.247324
airline-ohe,gpu_reorg,4096,2,1,20,-1,true,false,true,0.402717,0.108527
covtype,gpu_reorg,4096,2,1,20,-1,false,false,true,0.167841,0.115301
covtype,gpu_reorg,4096,2,1,20,-1,true,false,true,0.161277,0.108493
epsilon,gpu_reorg,4096,2,1,20,-1,false,false,true,0.848514,0.0590621
epsilon,gpu_reorg,4096,2,1,20,-1,true,false,true,0.864764,0.0752157
higgs,gpu_reorg,4096,2,1,20,-1,false,false,true,0.0460946,0.0207943
higgs,gpu_reorg,4096,2,1,20,-1,true,false,true,0.0448824,0.0197021
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,false,false,true,0.172117,0.114646
year_prediction_msd,gpu_reorg,4096,2,1,20,-1,true,false,true,0.154178,0.0971407
abalone,gpu_array,4096,2,1,20,2,false,false,true,0.0844983,0.0739506
abalone,gpu_array,4096,2,1,20,2,true,false,true,0.0833651,0.072854
airline,gpu_array,4096,2,1,20,2,false,false,true,0.0367814,0.018053
airline,gpu_array,4096,2,1,20,2,true,false,true,0.0358976,0.0171814
airline-ohe,gpu_array,4096,2,1,20,2,false,false,true,0.495,0.200803
airline-ohe,gpu_array,4096,2,1,20,2,true,false,true,0.389988,0.0951164
covtype,gpu_array,4096,2,1,20,2,false,false,true,0.168,0.115619
covtype,gpu_array,4096,2,1,20,2,true,false,true,0.172131,0.11991
epsilon,gpu_array,4096,2,1,20,2,false,false,true,0.843098,0.0547253
epsilon,gpu_array,4096,2,1,20,2,true,false,true,0.857766,0.0682654
higgs,gpu_array,4096,2,1,20,2,false,false,true,0.0436629,0.0185954
higgs,gpu_array,4096,2,1,20,2,true,false,true,0.0426839,0.0175138
year_prediction_msd,gpu_array,4096,2,1,20,2,false,false,true,0.147456,0.0904626
year_prediction_msd,gpu_array,4096,2,1,20,2,true,false,true,0.133211,0.076637
abalone,gpu_sparse,4096,2,1,20,2,false,false,true,0.113564,0.102628
abalone,gpu_sparse,4096,2,1,20,2,true,false,true,0.116399,0.105889
airline,gpu_sparse,4096,2,1,20,2,false,false,true,0.0381921,0.0203691
airline,gpu_sparse,4096,2,1,20,2,true,false,true,0.0391134,0.0203711
airline-ohe,gpu_sparse,4096,2,1,20,2,false,false,true,0.51774,0.223433
airline-ohe,gpu_sparse,4096,2,1,20,2,true,false,true,0.517148,0.222324
covtype,gpu_sparse,4096,2,1,20,2,false,false,true,0.176074,0.123634
covtype,gpu_sparse,4096,2,1,20,2,true,false,true,0.185447,0.133294
epsilon,gpu_sparse,4096,2,1,20,2,false,false,true,0.841813,0.0539852
epsilon,gpu_sparse,4096,2,1,20,2,true,false,true,0.855757,0.0678389
higgs,gpu_sparse,4096,2,1,20,2,false,false,true,0.044692,0.0200736
higgs,gpu_sparse,4096,2,1,20,2,true,false,true,0.0446545,0.020225
year_prediction_msd,gpu_sparse,4096,2,1,20,2,false,false,true,0.148177,0.0912406
year_prediction_msd,gpu_sparse,4096,2,1,20,2,true,false,true,0.130581,0.0732422
abalone,gpu_reorg,4096,2,1,20,2,false,false,true,0.0831563,0.0726876
abalone,gpu_reorg,4096,2,1,20,2,true,false,true,0.0728654,0.0617639
airline,gpu_reorg,4096,2,1,20,2,false,false,true,0.037133,0.0184696
airline,gpu_reorg,4096,2,1,20,2,true,false,true,0.0341756,0.0166532
airline-ohe,gpu_reorg,4096,2,1,20,2,false,false,true,0.476004,0.181762
airline-ohe,gpu_reorg,4096,2,1,20,2,true,false,true,0.379005,0.0855981
covtype,gpu_reorg,4096,2,1,20,2,false,false,true,0.166305,0.113871
covtype,gpu_reorg,4096,2,1,20,2,true,false,true,0.164645,0.112363
epsilon,gpu_reorg,4096,2,1,20,2,false,false,true,0.846156,0.057983
epsilon,gpu_reorg,4096,2,1,20,2,true,false,true,0.861446,0.0724259
higgs,gpu_reorg,4096,2,1,20,2,false,false,true,0.0446973,0.0195837
higgs,gpu_reorg,4096,2,1,20,2,true,false,true,0.0434595,0.0184151
year_prediction_msd,gpu_reorg,4096,2,1,20,2,false,false,true,0.188678,0.131551
year_prediction_msd,gpu_reorg,4096,2,1,20,2,true,false,true,0.162739,0.105676
abalone,gpu_array,4096,2,1,20,4,false,false,true,0.0882324,0.0777576
abalone,gpu_array,4096,2,1,20,4,true,false,true,0.0880855,0.0770125
airline,gpu_array,4096,2,1,20,4,false,false,true,0.0404683,0.0217371
