model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,treeInterleaveDepth,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,256,2,1,20,-1,false,false,false,0.419483,0.339227
abalone,gpu_array,256,2,1,20,-1,true,false,false,0.400938,0.319524
airline,gpu_array,256,2,1,20,-1,false,false,false,0.200869,0.116229
airline,gpu_array,256,2,1,20,-1,true,false,false,0.20006,0.114387
airline-ohe,gpu_array,256,2,1,20,-1,false,false,false,0.873067,0.434209
airline-ohe,gpu_array,256,2,1,20,-1,true,false,false,0.880263,0.437734
covtype,gpu_array,256,2,1,20,-1,false,false,false,0.432601,0.332438
covtype,gpu_array,256,2,1,20,-1,true,false,false,0.435388,0.325165
epsilon,gpu_array,256,2,1,20,-1,false,false,false,1.40738,0.179577
epsilon,gpu_array,256,2,1,20,-1,true,false,false,1.41125,0.184081
higgs,gpu_array,256,2,1,20,-1,false,false,false,0.205173,0.113841
higgs,gpu_array,256,2,1,20,-1,true,false,false,0.207568,0.1135
letters,gpu_array,256,2,1,20,-1,false,false,false,8.82755,8.7574
letters,gpu_array,256,2,1,20,-1,true,false,false,8.60144,8.53163
year_prediction_msd,gpu_array,256,2,1,20,-1,false,false,false,0.252593,0.113452
year_prediction_msd,gpu_array,256,2,1,20,-1,true,false,false,0.252066,0.113029
abalone,gpu_array,256,2,1,20,-1,false,false,true,0.38668,0.306982
abalone,gpu_array,256,2,1,20,-1,true,false,true,0.369706,0.289582
airline,gpu_array,256,2,1,20,-1,false,false,true,0.203596,0.114659
airline,gpu_array,256,2,1,20,-1,true,false,true,0.198276,0.113712
airline-ohe,gpu_array,256,2,1,20,-1,false,false,true,0.869449,0.419247
airline-ohe,gpu_array,256,2,1,20,-1,true,false,true,0.817125,0.363243
covtype,gpu_array,256,2,1,20,-1,false,false,true,0.416908,0.313994
covtype,gpu_array,256,2,1,20,-1,true,false,true,0.402934,0.301057
epsilon,gpu_array,256,2,1,20,-1,false,false,true,1.4148,0.181815
epsilon,gpu_array,256,2,1,20,-1,true,false,true,1.41195,0.180165
higgs,gpu_array,256,2,1,20,-1,false,false,true,0.213387,0.116653
higgs,gpu_array,256,2,1,20,-1,true,false,true,0.218758,0.113143
letters,gpu_array,256,2,1,20,-1,false,false,true,82.6598,82.7133
letters,gpu_array,256,2,1,20,-1,true,false,true,76.386,76.4249
year_prediction_msd,gpu_array,256,2,1,20,-1,false,false,true,0.620283,0.483757
year_prediction_msd,gpu_array,256,2,1,20,-1,true,false,true,0.620928,0.455016
abalone,gpu_sparse,256,2,1,20,-1,false,false,false,0.412414,0.331022
abalone,gpu_sparse,256,2,1,20,-1,true,false,false,0.40474,0.324573
airline,gpu_sparse,256,2,1,20,-1,false,false,false,0.204775,0.11699
airline,gpu_sparse,256,2,1,20,-1,true,false,false,0.206207,0.115445
airline-ohe,gpu_sparse,256,2,1,20,-1,false,false,false,0.892428,0.443243
airline-ohe,gpu_sparse,256,2,1,20,-1,true,false,false,0.880804,0.426288
covtype,gpu_sparse,256,2,1,20,-1,false,false,false,0.435251,0.335697
covtype,gpu_sparse,256,2,1,20,-1,true,false,false,0.435033,0.32168
epsilon,gpu_sparse,256,2,1,20,-1,false,false,false,1.41281,0.183426
epsilon,gpu_sparse,256,2,1,20,-1,true,false,false,1.41468,0.182817
higgs,gpu_sparse,256,2,1,20,-1,false,false,false,0.211721,0.117128
higgs,gpu_sparse,256,2,1,20,-1,true,false,false,0.212143,0.117847
letters,gpu_sparse,256,2,1,20,-1,false,false,false,8.85453,8.78154
letters,gpu_sparse,256,2,1,20,-1,true,false,false,8.58678,8.50411
year_prediction_msd,gpu_sparse,256,2,1,20,-1,false,false,false,0.263212,0.118604
year_prediction_msd,gpu_sparse,256,2,1,20,-1,true,false,false,0.261299,0.118568
abalone,gpu_sparse,256,2,1,20,-1,false,false,true,0.384383,0.302011
abalone,gpu_sparse,256,2,1,20,-1,true,false,true,0.378552,0.295874
airline,gpu_sparse,256,2,1,20,-1,false,false,true,0.206624,0.118365
airline,gpu_sparse,256,2,1,20,-1,true,false,true,0.205347,0.118086
airline-ohe,gpu_sparse,256,2,1,20,-1,false,false,true,0.87567,0.418571
airline-ohe,gpu_sparse,256,2,1,20,-1,true,false,true,0.833544,0.374212
covtype,gpu_sparse,256,2,1,20,-1,false,false,true,0.423301,0.318261
covtype,gpu_sparse,256,2,1,20,-1,true,false,true,0.406816,0.300951
epsilon,gpu_sparse,256,2,1,20,-1,false,false,true,1.42084,0.183767
epsilon,gpu_sparse,256,2,1,20,-1,true,false,true,1.41969,0.184428
higgs,gpu_sparse,256,2,1,20,-1,false,false,true,0.226278,0.118359
higgs,gpu_sparse,256,2,1,20,-1,true,false,true,0.213673,0.116223
letters,gpu_sparse,256,2,1,20,-1,false,false,true,78.9405,78.9842
letters,gpu_sparse,256,2,1,20,-1,true,false,true,75.3038,75.3439
year_prediction_msd,gpu_sparse,256,2,1,20,-1,false,false,true,0.612726,0.473093
year_prediction_msd,gpu_sparse,256,2,1,20,-1,true,false,true,0.633033,0.452547
abalone,gpu_reorg,256,2,1,20,-1,false,false,false,0.491048,0.409674
abalone,gpu_reorg,256,2,1,20,-1,true,false,false,0.490412,0.409042
airline,gpu_reorg,256,2,1,20,-1,false,false,false,0.216848,0.127855
airline,gpu_reorg,256,2,1,20,-1,true,false,false,0.218492,0.129165
airline-ohe,gpu_reorg,256,2,1,20,-1,false,false,false,0.973791,0.515994
airline-ohe,gpu_reorg,256,2,1,20,-1,true,false,false,0.957148,0.50365
covtype,gpu_reorg,256,2,1,20,-1,false,false,false,0.511697,0.410547
covtype,gpu_reorg,256,2,1,20,-1,true,false,false,0.508957,0.40651
epsilon,gpu_reorg,256,2,1,20,-1,false,false,false,1.41816,0.187846
epsilon,gpu_reorg,256,2,1,20,-1,true,false,false,1.42328,0.194738
higgs,gpu_reorg,256,2,1,20,-1,false,false,false,0.236661,0.129944
higgs,gpu_reorg,256,2,1,20,-1,true,false,false,0.240336,0.131766
letters,gpu_reorg,256,2,1,20,-1,false,false,false,9.11025,9.03995
letters,gpu_reorg,256,2,1,20,-1,true,false,false,9.0238,8.9531
year_prediction_msd,gpu_reorg,256,2,1,20,-1,false,false,false,0.272547,0.131318
