model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,32,1,2,false,false,false,0.157839,0.142959
abalone,gpu_array,4096,32,1,2,true,false,false,0.156052,0.140044
abalone,gpu_array,4096,32,1,2,false,true,false,0.219382,0.206765
abalone,gpu_array,4096,32,1,2,true,true,false,0.223445,0.209275
airline,gpu_array,4096,32,1,2,false,false,false,0.0380298,0.0224976
airline,gpu_array,4096,32,1,2,true,false,false,0.0432129,0.0234277
airline,gpu_array,4096,32,1,2,false,true,false,0.0775146,0.0615503
airline,gpu_array,4096,32,1,2,true,true,false,0.0812109,0.0627271
airline-ohe,gpu_array,4096,32,1,2,false,false,false,0.630793,0.331892
airline-ohe,gpu_array,4096,32,1,2,false,true,false,1.04647,0.753452
covtype,gpu_array,4096,32,1,2,false,false,false,0.1746,0.138027
covtype,gpu_array,4096,32,1,2,true,false,false,0.167732,0.130466
covtype,gpu_array,4096,32,1,2,false,true,false,0.574084,0.53283
covtype,gpu_array,4096,32,1,2,true,true,false,0.432754,0.394619
epsilon,gpu_array,4096,32,1,2,false,false,false,0.84748,0.066084
epsilon,gpu_array,4096,32,1,2,false,true,false,0.929138,0.14968
higgs,gpu_array,4096,32,1,2,false,false,false,0.0454785,0.0228491
higgs,gpu_array,4096,32,1,2,true,false,false,0.050188,0.023689
higgs,gpu_array,4096,32,1,2,false,true,false,0.0967212,0.0704883
higgs,gpu_array,4096,32,1,2,true,true,false,0.0885815,0.0622607
letters,gpu_array,4096,32,1,2,false,false,false,5.70252,5.65422
letters,gpu_array,4096,32,1,2,true,false,false,5.72831,5.68301
letters,gpu_array,4096,32,1,2,false,true,false,8.8018,8.75774
letters,gpu_array,4096,32,1,2,true,true,false,8.6936,8.64883
year_prediction_msd,gpu_array,4096,32,1,2,false,false,false,0.0722119,0.0250635
year_prediction_msd,gpu_array,4096,32,1,2,true,false,false,0.0741113,0.025
year_prediction_msd,gpu_array,4096,32,1,2,false,true,false,0.114841,0.0682544
year_prediction_msd,gpu_array,4096,32,1,2,true,true,false,0.140276,0.0929712
abalone,gpu_array,4096,32,1,2,false,false,true,0.130977,0.116873
abalone,gpu_array,4096,32,1,2,true,false,true,0.134802,0.121875
abalone,gpu_array,4096,32,1,2,false,true,true,0.205171,0.192595
abalone,gpu_array,4096,32,1,2,true,true,true,0.208386,0.192681
airline,gpu_array,4096,32,1,2,false,false,true,0.0394678,0.021875
airline,gpu_array,4096,32,1,2,true,false,true,0.0399683,0.0223755
airline,gpu_array,4096,32,1,2,false,true,true,0.0822241,0.0645923
airline,gpu_array,4096,32,1,2,true,true,true,0.0805542,0.064541
airline-ohe,gpu_array,4096,32,1,2,false,false,true,0.620271,0.321426
airline-ohe,gpu_array,4096,32,1,2,false,true,true,1.03387,0.739236
covtype,gpu_array,4096,32,1,2,false,false,true,0.165671,0.126892
covtype,gpu_array,4096,32,1,2,true,false,true,0.155344,0.113564
covtype,gpu_array,4096,32,1,2,false,true,true,0.180149,0.136716
covtype,gpu_array,4096,32,1,2,true,true,true,0.164299,0.122744
epsilon,gpu_array,4096,32,1,2,false,false,true,0.850393,0.0661157
epsilon,gpu_array,4096,32,1,2,false,true,true,0.929634,0.149553
higgs,gpu_array,4096,32,1,2,false,false,true,0.0472778,0.0212744
higgs,gpu_array,4096,32,1,2,true,false,true,0.0481494,0.0217603
higgs,gpu_array,4096,32,1,2,false,true,true,0.091272,0.0672754
higgs,gpu_array,4096,32,1,2,true,true,true,0.0877295,0.0617993
letters,gpu_array,4096,32,1,2,false,false,true,5.34732,5.30299
letters,gpu_array,4096,32,1,2,true,false,true,5.17557,5.1242
letters,gpu_array,4096,32,1,2,false,true,true,5.36321,5.31908
letters,gpu_array,4096,32,1,2,true,true,true,5.16928,5.12065
year_prediction_msd,gpu_array,4096,32,1,2,false,false,true,0.0713477,0.0245264
year_prediction_msd,gpu_array,4096,32,1,2,true,false,true,0.0721362,0.0254736
year_prediction_msd,gpu_array,4096,32,1,2,false,true,true,0.0736572,0.0255713
year_prediction_msd,gpu_array,4096,32,1,2,true,true,true,0.072998,0.0252417
abalone,gpu_sparse,4096,32,1,2,false,false,false,0.139687,0.127756
abalone,gpu_sparse,4096,32,1,2,true,false,false,0.154399,0.138208
abalone,gpu_sparse,4096,32,1,2,false,true,false,0.226665,0.210781
abalone,gpu_sparse,4096,32,1,2,true,true,false,0.221936,0.20937
airline,gpu_sparse,4096,32,1,2,false,false,false,0.0394727,0.0223535
airline,gpu_sparse,4096,32,1,2,true,false,false,0.0396802,0.0234058
airline,gpu_sparse,4096,32,1,2,false,true,false,0.0816528,0.0616821
airline,gpu_sparse,4096,32,1,2,true,true,false,0.0801953,0.0630054
airline-ohe,gpu_sparse,4096,32,1,2,false,false,false,0.630784,0.331191
airline-ohe,gpu_sparse,4096,32,1,2,false,true,false,1.05148,0.756177
covtype,gpu_sparse,4096,32,1,2,false,false,false,0.176431,0.137861
covtype,gpu_sparse,4096,32,1,2,true,false,false,0.179758,0.14104
covtype,gpu_sparse,4096,32,1,2,false,true,false,0.578398,0.536731
covtype,gpu_sparse,4096,32,1,2,true,true,false,0.436245,0.394897
epsilon,gpu_sparse,4096,32,1,2,false,false,false,0.849338,0.0668604
epsilon,gpu_sparse,4096,32,1,2,false,true,false,0.934453,0.151272
higgs,gpu_sparse,4096,32,1,2,false,false,false,0.0489404,0.0229468
higgs,gpu_sparse,4096,32,1,2,true,false,false,0.0506299,0.0239185
higgs,gpu_sparse,4096,32,1,2,false,true,false,0.0968018,0.0704321
higgs,gpu_sparse,4096,32,1,2,true,true,false,0.0874878,0.0636377
letters,gpu_sparse,4096,32,1,2,false,false,false,5.69048,5.63997
letters,gpu_sparse,4096,32,1,2,true,false,false,5.78165,5.73735
letters,gpu_sparse,4096,32,1,2,false,true,false,8.81927,8.77397
letters,gpu_sparse,4096,32,1,2,true,true,false,8.65833,8.60777
year_prediction_msd,gpu_sparse,4096,32,1,2,false,false,false,0.0714453,0.0245264
year_prediction_msd,gpu_sparse,4096,32,1,2,true,false,false,0.07396,0.0249878
year_prediction_msd,gpu_sparse,4096,32,1,2,false,true,false,0.115398,0.0678369
year_prediction_msd,gpu_sparse,4096,32,1,2,true,true,false,0.142295,0.0930542
abalone,gpu_sparse,4096,32,1,2,false,false,true,0.137791,0.12553
abalone,gpu_sparse,4096,32,1,2,true,false,true,0.134729,0.121299
abalone,gpu_sparse,4096,32,1,2,false,true,true,0.208005,0.19554
abalone,gpu_sparse,4096,32,1,2,true,true,true,0.210334,0.194478
airline,gpu_sparse,4096,32,1,2,false,false,true,0.0407275,0.0214575
airline,gpu_sparse,4096,32,1,2,true,false,true,0.0404102,0.0222095
airline,gpu_sparse,4096,32,1,2,false,true,true,0.0799097,0.0636255
airline,gpu_sparse,4096,32,1,2,true,true,true,0.0846509,0.065686
airline-ohe,gpu_sparse,4096,32,1,2,false,false,true,0.608848,0.314932
airline-ohe,gpu_sparse,4096,32,1,2,false,true,true,1.03093,0.737649
covtype,gpu_sparse,4096,32,1,2,false,false,true,0.165161,0.126616
covtype,gpu_sparse,4096,32,1,2,true,false,true,0.160032,0.121238
covtype,gpu_sparse,4096,32,1,2,false,true,true,0.178096,0.136165
covtype,gpu_sparse,4096,32,1,2,true,true,true,0.162466,0.12085
epsilon,gpu_sparse,4096,32,1,2,false,false,true,0.855667,0.0681689
epsilon,gpu_sparse,4096,32,1,2,false,true,true,0.933923,0.150691
higgs,gpu_sparse,4096,32,1,2,false,false,true,0.0475146,0.021062
higgs,gpu_sparse,4096,32,1,2,true,false,true,0.0472656,0.0217798
higgs,gpu_sparse,4096,32,1,2,false,true,true,0.0944482,0.0680127
higgs,gpu_sparse,4096,32,1,2,true,true,true,0.0879932,0.0623633
letters,gpu_sparse,4096,32,1,2,false,false,true,5.34872,5.30488
letters,gpu_sparse,4096,32,1,2,true,false,true,5.19226,5.14567
letters,gpu_sparse,4096,32,1,2,false,true,true,5.3458,5.30069
letters,gpu_sparse,4096,32,1,2,true,true,true,5.1802,5.13266
year_prediction_msd,gpu_sparse,4096,32,1,2,false,false,true,0.0714795,0.0248096
year_prediction_msd,gpu_sparse,4096,32,1,2,true,false,true,0.0732788,0.0250952
year_prediction_msd,gpu_sparse,4096,32,1,2,false,true,true,0.0732983,0.0239014
year_prediction_msd,gpu_sparse,4096,32,1,2,true,true,true,0.0728809,0.0250708
abalone,gpu_reorg,4096,32,1,2,false,false,false,0.1304,0.114934
