model,representation,batch_size,rowsPerTB,rowsPerT,numTreeThreads,cache_rows,cache_trees,unroll,total,kernel
abalone,gpu_array,4096,32,1,2,false,false,false,0.154465,0.142207
abalone,gpu_array,4096,32,1,2,true,false,false,0.140904,0.128782
abalone,gpu_array,4096,32,1,2,false,true,false,0.200453,0.191211
abalone,gpu_array,4096,32,1,2,true,true,false,0.204154,0.19271
airline,gpu_array,4096,32,1,2,false,false,false,0.0395011,0.02177
airline,gpu_array,4096,32,1,2,true,false,false,0.0421769,0.0232812
airline,gpu_array,4096,32,1,2,false,true,false,0.0760286,0.0607764
airline,gpu_array,4096,32,1,2,true,true,false,0.0777295,0.0617228
airline-ohe,gpu_array,4096,32,1,2,false,false,false,0.606985,0.31326
airline-ohe,gpu_array,4096,32,1,2,false,true,false,1.04014,0.753835
covtype,gpu_array,4096,32,1,2,false,false,false,0.175704,0.136195
covtype,gpu_array,4096,32,1,2,true,false,false,0.164721,0.12901
covtype,gpu_array,4096,32,1,2,false,true,false,0.533889,0.495336
covtype,gpu_array,4096,32,1,2,true,true,false,0.430068,0.391489
epsilon,gpu_array,4096,32,1,2,false,false,false,0.847532,0.066141
epsilon,gpu_array,4096,32,1,2,false,true,false,0.928435,0.151141
higgs,gpu_array,4096,32,1,2,false,false,false,0.0461646,0.0226172
higgs,gpu_array,4096,32,1,2,true,false,false,0.0501082,0.0235978
higgs,gpu_array,4096,32,1,2,false,true,false,0.0956055,0.0705949
higgs,gpu_array,4096,32,1,2,true,true,false,0.0884025,0.0626115
letters,gpu_array,4096,32,1,2,false,false,false,5.6176,5.59384
letters,gpu_array,4096,32,1,2,true,false,false,5.76585,5.73802
letters,gpu_array,4096,32,1,2,false,true,false,8.82676,8.80801
letters,gpu_array,4096,32,1,2,true,true,false,8.73017,8.71418
year_prediction_msd,gpu_array,4096,32,1,2,false,false,false,0.0740649,0.0254679
year_prediction_msd,gpu_array,4096,32,1,2,true,false,false,0.0738664,0.0249609
year_prediction_msd,gpu_array,4096,32,1,2,false,true,false,0.116011,0.0684342
year_prediction_msd,gpu_array,4096,32,1,2,true,true,false,0.141342,0.0933122
abalone,gpu_array,4096,32,1,2,false,false,true,0.129714,0.117669
abalone,gpu_array,4096,32,1,2,true,false,true,0.123789,0.113413
abalone,gpu_array,4096,32,1,2,false,true,true,0.190352,0.178978
abalone,gpu_array,4096,32,1,2,true,true,true,0.190055,0.178062
airline,gpu_array,4096,32,1,2,false,false,true,0.0352954,0.0200846
airline,gpu_array,4096,32,1,2,true,false,true,0.0374699,0.0210596
airline,gpu_array,4096,32,1,2,false,true,true,0.0748828,0.0594108
airline,gpu_array,4096,32,1,2,true,true,true,0.076626,0.0605916
airline-ohe,gpu_array,4096,32,1,2,false,false,true,0.603369,0.309277
airline-ohe,gpu_array,4096,32,1,2,false,true,true,1.03163,0.741126
covtype,gpu_array,4096,32,1,2,false,false,true,0.162059,0.125975
covtype,gpu_array,4096,32,1,2,true,false,true,0.155007,0.112812
covtype,gpu_array,4096,32,1,2,false,true,true,0.162486,0.124766
covtype,gpu_array,4096,32,1,2,true,true,true,0.148469,0.112594
epsilon,gpu_array,4096,32,1,2,false,false,true,0.844847,0.0659619
epsilon,gpu_array,4096,32,1,2,false,true,true,0.929757,0.151093
higgs,gpu_array,4096,32,1,2,false,false,true,0.0476375,0.0212598
higgs,gpu_array,4096,32,1,2,true,false,true,0.0481421,0.021735
higgs,gpu_array,4096,32,1,2,false,true,true,0.0914941,0.0679069
higgs,gpu_array,4096,32,1,2,true,true,true,0.0882446,0.0618058
letters,gpu_array,4096,32,1,2,false,false,true,5.33592,5.30609
letters,gpu_array,4096,32,1,2,true,false,true,5.1697,5.14318
letters,gpu_array,4096,32,1,2,false,true,true,5.34903,5.31899
letters,gpu_array,4096,32,1,2,true,true,true,5.17149,5.14335
year_prediction_msd,gpu_array,4096,32,1,2,false,false,true,0.0698079,0.0235897
year_prediction_msd,gpu_array,4096,32,1,2,true,false,true,0.0704932,0.0240828
year_prediction_msd,gpu_array,4096,32,1,2,false,true,true,0.0698022,0.0235091
year_prediction_msd,gpu_array,4096,32,1,2,true,true,true,0.0721501,0.0239722
abalone,gpu_sparse,4096,32,1,2,false,false,false,0.148879,0.136864
abalone,gpu_sparse,4096,32,1,2,true,false,false,0.138011,0.128027
abalone,gpu_sparse,4096,32,1,2,false,true,false,0.207048,0.195041
abalone,gpu_sparse,4096,32,1,2,true,true,false,0.204309,0.193951
airline,gpu_sparse,4096,32,1,2,false,false,false,0.0368408,0.0217342
airline,gpu_sparse,4096,32,1,2,true,false,false,0.0415918,0.0228101
airline,gpu_sparse,4096,32,1,2,false,true,false,0.0788403,0.060931
airline,gpu_sparse,4096,32,1,2,true,true,false,0.0812118,0.0623291
airline-ohe,gpu_sparse,4096,32,1,2,false,false,false,0.608437,0.314264
airline-ohe,gpu_sparse,4096,32,1,2,false,true,false,1.04558,0.757667
covtype,gpu_sparse,4096,32,1,2,false,false,false,0.179036,0.135709
covtype,gpu_sparse,4096,32,1,2,true,false,false,0.169272,0.128607
covtype,gpu_sparse,4096,32,1,2,false,true,false,0.538009,0.503364
covtype,gpu_sparse,4096,32,1,2,true,true,false,0.43034,0.395534
epsilon,gpu_sparse,4096,32,1,2,false,false,false,0.848543,0.067207
epsilon,gpu_sparse,4096,32,1,2,false,true,false,0.931684,0.152432
higgs,gpu_sparse,4096,32,1,2,false,false,false,0.0485441,0.0226644
higgs,gpu_sparse,4096,32,1,2,true,false,false,0.0491667,0.0236841
higgs,gpu_sparse,4096,32,1,2,false,true,false,0.0933276,0.0697648
higgs,gpu_sparse,4096,32,1,2,true,true,false,0.0889648,0.0632861
letters,gpu_sparse,4096,32,1,2,false,false,false,5.65947,5.63385
letters,gpu_sparse,4096,32,1,2,true,false,false,5.76199,5.73636
letters,gpu_sparse,4096,32,1,2,false,true,false,8.76864,8.75167
letters,gpu_sparse,4096,32,1,2,true,true,false,8.56128,8.54698
year_prediction_msd,gpu_sparse,4096,32,1,2,false,false,false,0.0725537,0.0240039
year_prediction_msd,gpu_sparse,4096,32,1,2,true,false,false,0.0736214,0.0244434
year_prediction_msd,gpu_sparse,4096,32,1,2,false,true,false,0.116255,0.0677531
year_prediction_msd,gpu_sparse,4096,32,1,2,true,true,false,0.139495,0.0928084
abalone,gpu_sparse,4096,32,1,2,false,false,true,0.12849,0.115972
abalone,gpu_sparse,4096,32,1,2,true,false,true,0.124194,0.112131
abalone,gpu_sparse,4096,32,1,2,false,true,true,0.191022,0.180622
abalone,gpu_sparse,4096,32,1,2,true,true,true,0.19111,0.179843
airline,gpu_sparse,4096,32,1,2,false,false,true,0.0379191,0.019895
airline,gpu_sparse,4096,32,1,2,true,false,true,0.0367139,0.0206445
airline,gpu_sparse,4096,32,1,2,false,true,true,0.0773372,0.059397
airline,gpu_sparse,4096,32,1,2,true,true,true,0.0796322,0.0608545
airline-ohe,gpu_sparse,4096,32,1,2,false,false,true,0.594019,0.303794
airline-ohe,gpu_sparse,4096,32,1,2,false,true,true,1.03029,0.740799
covtype,gpu_sparse,4096,32,1,2,false,false,true,0.168442,0.125035
covtype,gpu_sparse,4096,32,1,2,true,false,true,0.152689,0.110713
covtype,gpu_sparse,4096,32,1,2,false,true,true,0.162455,0.124413
covtype,gpu_sparse,4096,32,1,2,true,true,true,0.146921,0.110888
epsilon,gpu_sparse,4096,32,1,2,false,false,true,0.847991,0.0655688
epsilon,gpu_sparse,4096,32,1,2,false,true,true,0.932012,0.15086
higgs,gpu_sparse,4096,32,1,2,false,false,true,0.0455941,0.0207878
higgs,gpu_sparse,4096,32,1,2,true,false,true,0.0477629,0.0214079
higgs,gpu_sparse,4096,32,1,2,false,true,true,0.0938851,0.0677653
higgs,gpu_sparse,4096,32,1,2,true,true,true,0.087111,0.0619572
letters,gpu_sparse,4096,32,1,2,false,false,true,5.31182,5.28198
letters,gpu_sparse,4096,32,1,2,true,false,true,5.15051,5.1238
letters,gpu_sparse,4096,32,1,2,false,true,true,5.28676,5.25756
letters,gpu_sparse,4096,32,1,2,true,true,true,5.13169,5.1058
year_prediction_msd,gpu_sparse,4096,32,1,2,false,false,true,0.0724569,0.0252157
year_prediction_msd,gpu_sparse,4096,32,1,2,true,false,true,0.0705615,0.0241357
year_prediction_msd,gpu_sparse,4096,32,1,2,false,true,true,0.0724447,0.0235531
year_prediction_msd,gpu_sparse,4096,32,1,2,true,true,true,0.0729484,0.0239518
abalone,gpu_reorg,4096,32,1,2,false,false,false,0.136155,0.124101
abalone,gpu_reorg,4096,32,1,2,true,false,false,0.125388,0.1139
abalone,gpu_reorg,4096,32,1,2,false,true,false,0.410821,0.399141
abalone,gpu_reorg,4096,32,1,2,true,true,false,0.417109,0.407629
airline,gpu_reorg,4096,32,1,2,false,false,false,0.040599,0.0257829
airline,gpu_reorg,4096,32,1,2,true,false,false,0.0470573,0.0298576
airline,gpu_reorg,4096,32,1,2,false,true,false,0.239737,0.224653
airline,gpu_reorg,4096,32,1,2,true,true,false,0.242555,0.223988
airline-ohe,gpu_reorg,4096,32,1,2,false,false,false,0.614782,0.324906
airline-ohe,gpu_reorg,4096,32,1,2,false,true,false,2.63458,2.35037
covtype,gpu_reorg,4096,32,1,2,false,false,false,0.217896,0.180907
covtype,gpu_reorg,4096,32,1,2,true,false,false,0.234552,0.192934
covtype,gpu_reorg,4096,32,1,2,false,true,false,1.85271,1.81884
covtype,gpu_reorg,4096,32,1,2,true,true,false,1.77297,1.73671
epsilon,gpu_reorg,4096,32,1,2,false,false,false,0.845833,0.0664844
epsilon,gpu_reorg,4096,32,1,2,false,true,false,1.10806,0.328346
higgs,gpu_reorg,4096,32,1,2,false,false,false,0.0570467,0.0308789
higgs,gpu_reorg,4096,32,1,2,true,false,false,0.0603101,0.0344246
higgs,gpu_reorg,4096,32,1,2,false,true,false,0.255133,0.2294
higgs,gpu_reorg,4096,32,1,2,true,true,false,0.249606,0.224698
letters,gpu_reorg,4096,32,1,2,false,false,false,4.72817,4.69911
letters,gpu_reorg,4096,32,1,2,true,false,false,6.49925,6.47846
letters,gpu_reorg,4096,32,1,2,false,true,false,11.8035,11.7946
letters,gpu_reorg,4096,32,1,2,true,true,false,12.093,12.0861
year_prediction_msd,gpu_reorg,4096,32,1,2,false,false,false,0.0807153,0.0312956
year_prediction_msd,gpu_reorg,4096,32,1,2,true,false,false,0.08236,0.0332674
year_prediction_msd,gpu_reorg,4096,32,1,2,false,true,false,0.28388,0.235305
year_prediction_msd,gpu_reorg,4096,32,1,2,true,true,false,0.421561,0.37476
abalone,gpu_reorg,4096,32,1,2,false,false,true,0.0874373,0.0759749
abalone,gpu_reorg,4096,32,1,2,true,false,true,0.0825391,0.0723055
abalone,gpu_reorg,4096,32,1,2,false,true,true,0.416133,0.406985
abalone,gpu_reorg,4096,32,1,2,true,true,true,0.405598,0.394224
airline,gpu_reorg,4096,32,1,2,false,false,true,0.033737,0.0183993
airline,gpu_reorg,4096,32,1,2,true,false,true,0.0378906,0.0199162
airline,gpu_reorg,4096,32,1,2,false,true,true,0.196615,0.180783
airline,gpu_reorg,4096,32,1,2,true,true,true,0.193335,0.174297
airline-ohe,gpu_reorg,4096,32,1,2,false,false,true,0.604999,0.314304
airline-ohe,gpu_reorg,4096,32,1,2,false,true,true,2.19387,1.90607
covtype,gpu_reorg,4096,32,1,2,false,false,true,0.189144,0.147705
covtype,gpu_reorg,4096,32,1,2,true,false,true,0.162347,0.120579
covtype,gpu_reorg,4096,32,1,2,false,true,true,0.181796,0.14356
covtype,gpu_reorg,4096,32,1,2,true,true,true,0.161241,0.120788
epsilon,gpu_reorg,4096,32,1,2,false,false,true,0.845236,0.061521
epsilon,gpu_reorg,4096,32,1,2,false,true,true,1.05518,0.272049
higgs,gpu_reorg,4096,32,1,2,false,false,true,0.0476408,0.0230656
higgs,gpu_reorg,4096,32,1,2,true,false,true,0.0504224,0.0233586
higgs,gpu_reorg,4096,32,1,2,false,true,true,0.209465,0.185572
higgs,gpu_reorg,4096,32,1,2,true,true,true,0.199176,0.175365
letters,gpu_reorg,4096,32,1,2,false,false,true,4.1438,4.10832
letters,gpu_reorg,4096,32,1,2,true,false,true,3.41176,3.37569
letters,gpu_reorg,4096,32,1,2,false,true,true,4.10989,4.07787
letters,gpu_reorg,4096,32,1,2,true,true,true,3.40117,3.36906
year_prediction_msd,gpu_reorg,4096,32,1,2,false,false,true,0.0785986,0.0297656
year_prediction_msd,gpu_reorg,4096,32,1,2,true,false,true,0.076237,0.0256608
year_prediction_msd,gpu_reorg,4096,32,1,2,false,true,true,0.077229,0.0292798
year_prediction_msd,gpu_reorg,4096,32,1,2,true,true,true,0.0736499,0.0259155
abalone,gpu_array,4096,32,1,10,false,false,false,0.0805933,0.0639575
