benchmark,cur_batch_size,cmp_batch_size,degradation
higgs,16384,256,3.843357655
higgs,16384,512,3.373678773
higgs,16384,1024,2.745672961
higgs,16384,2048,2.398463353
higgs,8192,256,2.335327242
higgs,8192,512,2.220670746
higgs,8192,1024,1.749592671
higgs,8192,2048,1.352571058
higgs,256,16384,1.325857122
letters,4096,256,1.279801804
letters,8192,256,1.279801804
letters,16384,256,1.279801804
abalone,2048,256,1.252060901
abalone,8192,256,1.252060901
airline,256,16384,1.139917096
year_prediction_msd,256,16384,1.036319404
year_prediction_msd,512,16384,1.036319404
higgs,256,8192,1.010887956
higgs,16384,4096,0.969931539
airline,256,8192,0.934804488
year_prediction_msd,256,8192,0.899620094
year_prediction_msd,512,8192,0.899620094
covtype,1024,16384,0.841862675
covtype,2048,256,0.832726161
covtype,4096,256,0.832726161
covtype,8192,256,0.832726161
covtype,16384,256,0.832726161
year_prediction_msd,4096,256,0.831110649
abalone,2048,512,0.807440218
abalone,8192,512,0.807440218
year_prediction_msd,4096,512,0.713871938
year_prediction_msd,256,4096,0.711142255
year_prediction_msd,512,4096,0.711142255
airline,4096,256,0.710719467
airline,16384,256,0.710719467
covtype,1024,8192,0.700980226
higgs,256,2048,0.684807323
airline,256,4096,0.675105707
airline-ohe,8192,256,0.665247909
airline,256,2048,0.645698898
airline,4096,512,0.604458053
airline,16384,512,0.604458053
covtype,2048,512,0.595825998
covtype,4096,512,0.595825998
covtype,8192,512,0.595825998
covtype,16384,512,0.595825998
year_prediction_msd,256,2048,0.583573177
year_prediction_msd,512,2048,0.583573177
year_prediction_msd,4096,1024,0.576561222
higgs,256,4096,0.568538976
covtype,256,8192,0.502474227
covtype,512,8192,0.502474227
covtype,256,16384,0.499517061
covtype,512,16384,0.499517061
airline,4096,1024,0.495460014
airline,16384,1024,0.495460014
abalone,1024,256,0.488823825
abalone,4096,256,0.475093139
abalone,16384,256,0.475093139
covtype,256,2048,0.438106047
covtype,512,2048,0.438106047
higgs,4096,256,0.436937707
covtype,256,4096,0.40569838
covtype,512,4096,0.40569838
higgs,8192,4096,0.391901354
covtype,1024,4096,0.387265665
higgs,512,16384,0.37716108
airline-ohe,8192,512,0.358010097
abalone,1024,2048,0.353873293
higgs,16384,8192,0.342487199
year_prediction_msd,2048,256,0.342358442
year_prediction_msd,8192,256,0.342358442
year_prediction_msd,16384,256,0.342358442
epsilon,512,256,0.340319908
epsilon,8192,256,0.340319908
letters,4096,512,0.327525684
letters,8192,512,0.327525684
letters,16384,512,0.327525684
epsilon,16384,256,0.326667528
year_prediction_msd,4096,2048,0.323471356
airline,4096,2048,0.317260051
airline,16384,2048,0.317260051
higgs,4096,2048,0.308051975
airline,2048,256,0.303720493
airline,8192,256,0.303720493
higgs,1024,2048,0.295130275
abalone,2048,1024,0.288912005
abalone,8192,1024,0.288912005
airline,256,1024,0.287415502
airline-ohe,2048,256,0.281476423
airline-ohe,4096,256,0.281476423
airline-ohe,16384,256,0.281476423
covtype,2048,1024,0.278497321
covtype,4096,1024,0.278497321
covtype,8192,1024,0.278497321
covtype,16384,1024,0.278497321
higgs,4096,512,0.275903997
abalone,256,8192,0.270840492
abalone,512,8192,0.270840492
higgs,8192,16384,0.269938594
higgs,2048,256,0.268202634
higgs,1024,8192,0.267816571
covtype,1024,256,0.265686699
abalone,4096,2048,0.265035683
abalone,16384,2048,0.265035683
higgs,512,8192,0.262142042
epsilon,2048,256,0.261241612
epsilon,4096,256,0.261241612
higgs,256,1024,0.260189909
higgs,1024,16384,0.257529515
year_prediction_msd,256,1024,0.257322062
year_prediction_msd,512,1024,0.257322062
year_prediction_msd,2048,512,0.255284345
year_prediction_msd,8192,512,0.255284345
year_prediction_msd,16384,512,0.255284345
covtype,1024,2048,0.253860083
airline-ohe,8192,1024,0.250461865
covtype,256,1024,0.244991538
covtype,512,1024,0.244991538
higgs,512,2048,0.244017523
airline,1024,2048,0.236399855
abalone,256,16384,0.235638156
abalone,512,16384,0.235638156
epsilon,1024,2048,0.229810751
abalone,256,4096,0.227988498
abalone,512,4096,0.227988498
airline,2048,512,0.224637316
airline,8192,512,0.224637316
