benchmark,cur_batch_size,cmp_benchmark,degradation
airline-ohe,16384,letters,5.576554816
airline-ohe,4096,letters,4.439189621
airline-ohe,16384,year_prediction_msd,3.944804935
epsilon,8192,year_prediction_msd,2.873521904
epsilon,16384,year_prediction_msd,2.704945057
airline-ohe,4096,year_prediction_msd,2.700698175
airline-ohe,2048,letters,2.569
epsilon,4096,year_prediction_msd,2.388503234
epsilon,1024,letters,2.198203929
airline-ohe,2048,year_prediction_msd,2.129128311
abalone,1024,letters,1.911588817
covtype,1024,letters,1.911588817
epsilon,2048,year_prediction_msd,1.836546209
airline-ohe,16384,airline,1.691006297
epsilon,16384,higgs,1.65993366
airline-ohe,16384,higgs,1.622834351
higgs,256,letters,1.56190946
airline-ohe,8192,year_prediction_msd,1.462187592
epsilon,1024,year_prediction_msd,1.303920098
epsilon,16384,airline,1.302139557
airline-ohe,8192,letters,1.154037794
higgs,16384,letters,1.149656903
epsilon,512,airline-ohe,1.145631068
higgs,16384,covtype,1.137003925
higgs,8192,year_prediction_msd,1.121350557
airline-ohe,4096,airline,1.085598487
higgs,4096,covtype,1.063735067
abalone,512,letters,1.051290619
airline-ohe,512,letters,1.051290619
covtype,512,letters,1.051290619
epsilon,8192,higgs,1.050843928
epsilon,8192,airline,1.041557883
airline,256,letters,1.03650397
epsilon,256,letters,1.03650397
airline-ohe,2048,airline,0.990890281
airline-ohe,1024,letters,0.976710174
airline-ohe,2048,higgs,0.935418514
letters,2048,airline,0.902972582
abalone,8192,covtype,0.90295082
airline-ohe,1024,year_prediction_msd,0.902127079
letters,2048,higgs,0.891183078
higgs,4096,letters,0.845146556
airline-ohe,4096,higgs,0.82241585
higgs,8192,covtype,0.815727565
airline-ohe,16384,covtype,0.804888885
epsilon,4096,airline,0.8027193
epsilon,8192,airline-ohe,0.791250491
abalone,8192,letters,0.790491906
abalone,256,letters,0.7865853
airline-ohe,256,letters,0.7865853
covtype,256,letters,0.7865853
year_prediction_msd,256,airline-ohe,0.74603917
epsilon,512,year_prediction_msd,0.743327378
higgs,16384,year_prediction_msd,0.733188109
epsilon,2048,higgs,0.732070579
letters,256,airline-ohe,0.72043916
epsilon,8192,abalone,0.717513622
