Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 109915, 37794, 149516, 41180, 44501, 38635, 35379
2, 1, 154033, 36331, 172250, 42356, 51468, 45876, 39116
3, 1, 114931, 38578, 174558, 40505, 44599, 39320, 36740
4, 1, 106635, 34309, 128133, 37995, 43215, 38345, 35950
1, 2, 89430, 21486, 129107, 26526, 29542, 23038, 20362
2, 2, 133750, 20385, 150911, 26906, 36644, 30841, 23964
3, 2, 93728, 23017, 152697, 26198, 29613, 24597, 21780
4, 2, 86720, 18722, 107334, 23425, 28276, 23880, 20258
1, 4, 77708, 13876, 117578, 18933, 21616, 15438, 12914
2, 4, 123182, 12833, 139655, 20062, 29396, 23216, 16020
3, 4, 81979, 15241, 140609, 18327, 21974, 16755, 14012
4, 4, 75985, 11068, 96454, 16041, 20752, 16287, 12700
