Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 105262, 38868, 158751, 42729, 46182, 39867, 35988
2, 1, 158853, 36714, 180551, 42931, 52859, 46287, 39843
3, 1, 149614, 42456, 220808, 44032, 55774, 44800, 39978
4, 1, 140289, 37745, 175962, 41527, 55004, 45329, 39604
1, 2, 85363, 22557, 137375, 27342, 31275, 24323, 20819
2, 2, 138317, 21117, 158498, 27382, 37926, 31257, 23898
3, 2, 129489, 26127, 197909, 29329, 40488, 29696, 24221
4, 2, 119624, 22307, 153751, 26791, 39679, 29828, 24138
1, 4, 74443, 14583, 125639, 19247, 22969, 16018, 13005
2, 4, 128330, 13232, 148610, 20748, 30227, 23485, 16609
3, 4, 118279, 18533, 186358, 21421, 33157, 22019, 16955
4, 4, 109520, 14428, 142268, 19074, 32144, 22175, 16179
