Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 94188, 36193, 130063, 39619, 40257, 36752, 35278
2, 1, 164069, 37238, 181971, 42576, 51932, 47780, 42050
3, 1, 123101, 40120, 176167, 41438, 43531, 41572, 38054
4, 1, 104911, 33410, 125817, 38176, 39959, 38032, 35898
1, 2, 73707, 20884, 109834, 24528, 24853, 21878, 19900
2, 2, 144082, 21537, 161363, 27239, 36621, 32920, 25596
3, 2, 102484, 24259, 155250, 25902, 28625, 25652, 22466
4, 2, 85002, 18529, 104200, 21987, 25171, 23344, 20430
1, 4, 63101, 13031, 98691, 16695, 17140, 13869, 11983
2, 4, 132509, 13865, 150095, 19867, 29102, 25160, 18084
3, 4, 90857, 16636, 143425, 18304, 20838, 17888, 14856
4, 4, 73489, 11051, 92711, 15007, 18059, 15902, 12652
