Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 86748, 36341, 125190, 39491, 40726, 37031, 35723
2, 1, 161230, 36791, 184500, 42825, 51322, 47386, 39370
3, 1, 146485, 43252, 213070, 43537, 51295, 45687, 40186
4, 1, 130413, 36922, 170752, 40460, 49592, 44308, 39135
1, 2, 68477, 21004, 107120, 24859, 25570, 21985, 19731
2, 2, 143352, 21418, 160701, 27410, 36133, 32187, 24783
3, 2, 126620, 27227, 188667, 27938, 35582, 30303, 24796
4, 2, 111137, 21768, 146093, 25140, 33881, 29003, 23602
1, 4, 59019, 13863, 100247, 17257, 18205, 14304, 11997
2, 4, 130142, 13603, 149514, 19792, 28711, 24404, 16779
3, 4, 115799, 19409, 177344, 20097, 28019, 22345, 17362
4, 4, 98477, 14047, 133850, 16989, 26574, 21403, 15852
