Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 104487, 38352, 159524, 41106, 44788, 38238, 36564
2, 1, 167019, 36421, 191745, 42787, 54124, 46920, 39707
3, 1, 144134, 40577, 205349, 43443, 53930, 44048, 39499
4, 1, 154360, 37921, 188516, 42422, 55958, 45755, 40841
1, 2, 85563, 21968, 137451, 26352, 29967, 23071, 20792
2, 2, 147120, 21373, 170404, 28255, 38710, 32139, 24790
3, 2, 124643, 26003, 184159, 28110, 39397, 28840, 23632
4, 2, 131715, 23280, 164965, 26582, 42352, 30879, 24681
1, 4, 74350, 14680, 131229, 19261, 23585, 16442, 13032
2, 4, 135634, 13914, 158196, 20978, 31596, 24564, 16855
3, 4, 113086, 17353, 171774, 20872, 31112, 20985, 15859
4, 4, 119719, 15207, 153536, 18867, 33235, 23199, 16916
