Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 86651, 35336, 125846, 38774, 39343, 36355, 34594
2, 1, 156546, 36000, 180427, 41414, 50256, 45684, 39380
3, 1, 139513, 42112, 201255, 43679, 51485, 45788, 40006
4, 1, 139728, 37684, 175524, 40286, 49907, 44481, 39910
1, 2, 68650, 20230, 107361, 23861, 24468, 21087, 19701
2, 2, 135414, 20675, 154470, 26259, 34197, 30391, 23647
3, 2, 119483, 26726, 180657, 28063, 35458, 30062, 23847
4, 2, 118348, 22333, 153192, 25255, 35015, 29989, 24327
1, 4, 59088, 13516, 100754, 16533, 17654, 14203, 11798
2, 4, 127391, 13106, 142759, 18472, 27318, 23069, 16214
3, 4, 108238, 18770, 168702, 20612, 27593, 23148, 16752
4, 4, 111978, 14835, 141188, 17584, 27385, 22330, 16805
