Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 108526, 36432, 148794, 40449, 43787, 37322, 34927
2, 1, 151965, 35484, 174916, 41866, 52701, 46198, 38657
3, 1, 114224, 37678, 173727, 40388, 44205, 38534, 36270
4, 1, 106286, 33148, 128254, 37310, 42600, 37783, 34983
1, 2, 88362, 21372, 128737, 26048, 28694, 22894, 20282
2, 2, 130824, 20039, 153648, 27365, 37370, 31116, 23605
3, 2, 93465, 22532, 152012, 25690, 28841, 23994, 21161
4, 2, 86691, 18307, 107829, 22785, 27633, 23237, 19762
1, 4, 78126, 13761, 117470, 18176, 21254, 14975, 12834
2, 4, 120651, 12640, 141709, 20001, 29544, 23299, 15945
3, 4, 81820, 15248, 140399, 18251, 21970, 16703, 13719
4, 4, 75548, 10940, 96304, 15726, 20425, 16165, 12349
