Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 109214, 36529, 149075, 40277, 43999, 37293, 34975
2, 1, 151916, 35062, 176369, 42156, 52398, 45851, 37949
3, 1, 115315, 37602, 173844, 40387, 45243, 39005, 36300
4, 1, 107272, 33228, 128277, 37362, 41724, 38780, 35299
1, 2, 88955, 21216, 128892, 25983, 28515, 22716, 20368
2, 2, 131515, 20144, 153236, 27620, 37493, 31017, 23913
3, 2, 93673, 22487, 152309, 25471, 29604, 24250, 21197
4, 2, 85972, 18183, 107542, 23092, 27900, 23265, 20292
1, 4, 77370, 13670, 117630, 18359, 21373, 14929, 12630
2, 4, 121570, 12838, 141391, 20273, 30470, 23517, 16027
3, 4, 82600, 14985, 140993, 18262, 22227, 16716, 13863
4, 4, 75155, 10959, 96064, 15742, 20707, 16241, 12565
