Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 110866, 37417, 150596, 40932, 44685, 38975, 35993
2, 1, 151809, 36571, 175603, 43065, 52810, 46386, 38949
3, 1, 116441, 38746, 174157, 41234, 44979, 39836, 37251
4, 1, 107303, 34848, 129206, 38150, 43486, 39438, 35679
1, 2, 88615, 22054, 129066, 26656, 29872, 23554, 20648
2, 2, 132678, 20912, 153193, 27806, 37609, 31353, 24146
3, 2, 94168, 23206, 153045, 26003, 29678, 24626, 22232
4, 2, 87040, 18954, 108164, 23485, 28419, 24071, 20738
1, 4, 77987, 14016, 118186, 18839, 21768, 15431, 13017
2, 4, 120948, 13058, 140711, 20102, 29684, 23454, 16172
3, 4, 82080, 15233, 140532, 18507, 22634, 16971, 14219
4, 4, 75667, 11455, 96993, 15886, 20756, 16733, 12596
