Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 110132, 37363, 150235, 41939, 44043, 38634, 35552
2, 1, 152848, 36041, 176970, 43022, 52667, 46734, 38760
3, 1, 115368, 38386, 174288, 40795, 44921, 39707, 37177
4, 1, 106241, 33610, 128090, 38020, 43305, 38599, 34687
1, 2, 89086, 21621, 128935, 25869, 29001, 22798, 20635
2, 2, 132140, 20523, 154913, 27796, 37873, 31213, 23686
3, 2, 93400, 22990, 152630, 26066, 29723, 24449, 21613
4, 2, 86284, 18780, 107837, 23569, 28434, 23513, 20284
1, 4, 77922, 13926, 117676, 18471, 21507, 15148, 12829
2, 4, 120671, 12821, 141673, 20366, 29973, 23693, 16183
3, 4, 82411, 15220, 140542, 18181, 22419, 16828, 14037
4, 4, 75266, 11207, 96758, 15840, 20838, 16225, 12642
