Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 92946, 36177, 129806, 39146, 40270, 36701, 34706
2, 1, 162463, 36734, 181546, 42737, 51325, 47640, 40158
3, 1, 122824, 39805, 176083, 40585, 43230, 40419, 37119
4, 1, 104307, 33443, 125709, 36903, 40082, 38050, 35156
1, 2, 73925, 20607, 109412, 24295, 25112, 21747, 19708
2, 2, 142456, 21302, 161151, 27385, 36400, 32323, 25397
3, 2, 102630, 24181, 154746, 25915, 28317, 25227, 22397
4, 2, 84562, 18243, 104310, 22483, 25253, 23037, 20140
1, 4, 63136, 12890, 98703, 16541, 17295, 13851, 12147
2, 4, 131115, 13755, 149775, 19920, 28733, 24585, 17573
3, 4, 91267, 16227, 143361, 18067, 20637, 17622, 14682
4, 4, 73297, 10882, 92894, 14941, 17809, 15563, 12482
