Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 93472, 36009, 129617, 39399, 40373, 37379, 35407
2, 1, 162703, 37195, 182016, 42848, 51310, 47344, 40695
3, 1, 123139, 39343, 176755, 40613, 43512, 40454, 37165
4, 1, 105010, 33409, 126518, 37364, 40181, 38219, 35335
1, 2, 73580, 20378, 109651, 24110, 24906, 21558, 19670
2, 2, 142109, 21334, 161196, 27150, 36225, 32469, 25218
3, 2, 102274, 24286, 155457, 25893, 28633, 25116, 22485
4, 2, 84074, 18571, 104556, 22264, 25426, 23424, 20346
1, 4, 62978, 12927, 98696, 16433, 17029, 13926, 12094
2, 4, 131112, 13724, 149923, 19800, 28972, 24647, 17256
3, 4, 91448, 16342, 144245, 18103, 20843, 17685, 14778
4, 4, 73544, 10947, 93130, 15045, 17771, 15876, 12476
