Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 94153, 36878, 130130, 39594, 40470, 37296, 35516
2, 1, 162812, 37150, 181788, 42792, 51004, 47706, 40780
3, 1, 123654, 40612, 177067, 40822, 44396, 41173, 38220
4, 1, 104230, 34117, 125606, 37758, 40175, 38769, 36051
1, 2, 73866, 20916, 109570, 24328, 25290, 22043, 19859
2, 2, 141849, 21679, 160791, 27374, 36247, 32494, 25219
3, 2, 102493, 24533, 154664, 26007, 28821, 25857, 22737
4, 2, 84442, 18588, 103599, 22436, 26001, 23330, 20219
1, 4, 62718, 12930, 98819, 16825, 17391, 14026, 12165
2, 4, 130551, 13739, 149876, 19822, 28933, 24806, 17592
3, 4, 91220, 16526, 143761, 18393, 21444, 18062, 15251
4, 4, 73055, 11098, 91171, 15004, 17973, 15862, 12841
5, 4, 81740, 12005, 104758, 14922, 21027, 17881, 12836
6, 4, 72377, 11912, 104287, 14290, 17931, 15801, 12083
8, 4, 48343, 10698, 96451, 13487, 16800, 14359, 11349
