Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 94591, 35939, 130516, 39534, 40267, 36669, 35594
2, 1, 163790, 37215, 182646, 43127, 51584, 47884, 41005
3, 1, 124337, 39845, 176933, 40775, 43985, 40326, 38598
4, 1, 105424, 33937, 126436, 37974, 40693, 38984, 36363
1, 2, 73980, 20411, 109688, 24348, 24946, 21871, 20206
2, 2, 142469, 21706, 161436, 27720, 36643, 32849, 25480
3, 2, 102925, 24580, 155568, 25913, 28471, 25532, 22742
4, 2, 84875, 18787, 104850, 22449, 25476, 23505, 20656
1, 4, 63092, 12820, 98903, 16661, 17652, 14008, 12134
2, 4, 131218, 13868, 149671, 20019, 29159, 25117, 17605
3, 4, 91469, 16599, 143581, 18272, 20826, 17773, 15064
4, 4, 73685, 10952, 93425, 14995, 18030, 15931, 12721
