Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 104463, 35814, 146203, 39217, 42648, 36281, 34668
2, 1, 158745, 35822, 198595, 42223, 53224, 46571, 39150
3, 1, 107913, 36480, 175480, 38656, 42845, 37258, 34721
4, 1, 124679, 33696, 155733, 37909, 44769, 39197, 35663
1, 2, 85088, 20635, 121339, 24918, 28147, 22025, 19484
2, 2, 147654, 20702, 176766, 30477, 38462, 31782, 24051
3, 2, 85856, 21147, 148514, 24559, 28624, 23098, 20390
4, 2, 103159, 19240, 132883, 23629, 30192, 24904, 21437
1, 4, 74884, 13583, 118895, 17995, 20668, 14510, 12348
2, 4, 138238, 13349, 159700, 21037, 31966, 23997, 16411
3, 4, 71449, 13875, 136401, 17326, 20942, 15766, 13007
4, 4, 91833, 11969, 115823, 16685, 23422, 17653, 13651
