Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 101202, 37025, 165021, 41274, 45959, 37672, 35192
2, 1, 168524, 35420, 196755, 42541, 53933, 46098, 38624
3, 1, 140051, 40967, 211944, 42787, 53651, 46540, 37821
4, 1, 158859, 36763, 191649, 41314, 60371, 44449, 40621
1, 2, 82755, 21317, 144070, 25615, 29425, 22521, 20070
2, 2, 153675, 20755, 173103, 27182, 43994, 31233, 23914
3, 2, 120685, 24103, 190594, 28623, 43188, 27956, 23069
4, 2, 132349, 22179, 168868, 31941, 42005, 29889, 24386
1, 4, 71222, 14366, 138316, 18577, 23419, 15602, 12419
2, 4, 136326, 13138, 167252, 20117, 34705, 23741, 16337
3, 4, 109200, 16562, 179095, 20128, 30246, 20262, 15236
4, 4, 118706, 14516, 153194, 19172, 32909, 24455, 16490
