Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 91489, 34072, 129343, 37042, 37883, 35154, 33140
2, 1, 165971, 35603, 187152, 40858, 57120, 48161, 38855
3, 1, 112425, 37563, 175591, 38529, 40964, 37875, 38731
4, 1, 117731, 33584, 151586, 37299, 42712, 38869, 35658
1, 2, 71071, 19395, 103893, 23340, 24779, 20695, 18689
2, 2, 143335, 20575, 166738, 31157, 36933, 30964, 24086
3, 2, 92224, 22266, 149283, 24119, 26497, 23227, 22058
4, 2, 97811, 18954, 129148, 23204, 27543, 24434, 21117
1, 4, 59766, 12126, 95501, 18159, 16203, 12940, 12342
2, 4, 130990, 13364, 159754, 18870, 27956, 23736, 16554
3, 4, 96618, 14820, 136244, 17094, 19238, 16291, 13547
4, 4, 85852, 11948, 114818, 15885, 20411, 17521, 13914
