Tile Size, Batch Size, abalone, airline, airline-ohe, bosch, epsilon, higgs, year_prediction_msd
1, 1, 83823, 34806, 122275, 38041, 39131, 37899, 34275
2, 1, 155192, 39942, 181181, 43803, 50038, 44558, 39176
3, 1, 142397, 39695, 202825, 40980, 47537, 43858, 38501
4, 1, 143400, 36281, 177968, 40087, 50172, 44506, 38843
1, 2, 65098, 20311, 107133, 23205, 24061, 21132, 19033
2, 2, 134042, 19679, 155447, 29964, 35861, 29413, 22779
3, 2, 114541, 25383, 181606, 29022, 39273, 28772, 23459
4, 2, 117571, 21671, 158255, 25488, 34559, 29036, 23774
1, 4, 56423, 13021, 97295, 16198, 16983, 15493, 12574
2, 4, 126109, 12478, 141846, 19017, 26721, 21956, 15569
3, 4, 103732, 17508, 167566, 22014, 27290, 20869, 15716
4, 4, 106879, 14738, 141275, 17347, 29039, 21529, 16706
